Wall time,Step,Value
1617234096.10391,50,0.0
1617235588.54663,100,2.0
1617237037.28053,150,0.0
1617238514.305793,200,-1.0
1617240112.235001,250,29.0
1617241697.44741,300,34.0
1617243291.835039,350,40.0
1617244882.7695,400,36.0
1617246441.613955,450,10.0
1617248039.841137,500,42.0
1617249642.225336,550,32.0
1617251235.577091,600,31.0
1617252872.356297,650,37.0
1617254483.945518,700,31.0
1617256113.332106,750,30.0
1617257732.187514,800,21.0
1617259349.652637,850,38.0
1617260951.936282,900,38.0
1617262554.572299,950,36.0
1617624301.953226,1000,34.0
1617625912.785437,1050,38.0
1617627505.262156,1100,37.0
1617629072.569245,1150,22.0
1617630662.009528,1200,42.0
1617632228.862177,1250,38.0
1617633796.192176,1300,38.0
1617635418.016299,1350,33.0
1617637038.131958,1400,37.0
1617638613.215487,1450,33.0
1617650774.038915,1500,34.0
1617652402.167843,1550,38.0
1617654009.042905,1600,30.0
1617655607.737394,1650,33.0
1617657210.566391,1700,34.0
1617658845.271546,1750,40.0
1617660457.926272,1800,37.0
1617662070.433226,1850,36.0
1617663700.356007,1900,35.0
1617665331.943147,1950,41.0
