Wall time,Step,Value
1617234096.109234,50,3.0
1617235588.55095,100,6.0
1617237037.285052,150,0.0
1617238514.308464,200,-1.0
1617240112.240462,250,43.0
1617241697.450492,300,50.0
1617243291.837454,350,50.0
1617244882.772182,400,47.0
1617246441.617507,450,39.0
1617248039.843407,500,48.0
1617249642.228777,550,48.0
1617251235.578996,600,47.0
1617252872.35821,650,45.0
1617254483.947511,700,47.0
1617256113.334487,750,43.0
1617257732.189632,800,36.0
1617259349.656248,850,47.0
1617260951.939532,900,48.0
1617262554.575049,950,47.0
1617624301.959462,1000,47.0
1617625912.789196,1050,47.0
1617627505.267577,1100,46.0
1617629072.575051,1150,43.0
1617630662.01537,1200,48.0
1617632228.866921,1250,48.0
1617633796.197052,1300,49.0
1617635418.020986,1350,49.0
1617637038.136584,1400,45.0
1617638613.219889,1450,44.0
1617650774.045606,1500,47.0
1617652402.173596,1550,43.0
1617654009.048003,1600,41.0
1617655607.743768,1650,47.0
1617657210.572728,1700,48.0
1617658845.276326,1750,46.0
1617660457.930048,1800,47.0
1617662070.43727,1850,49.0
1617663700.358684,1900,46.0
1617665331.946726,1950,49.0
