Wall time,Step,Value
1617234096.113536,50,-1.0
1617235588.555517,100,0.0
1617237037.288972,150,-1.0
1617238514.311431,200,-1.0
1617240112.244385,250,6.0
1617241697.45663,300,11.0
1617243291.839333,350,27.0
1617244882.774148,400,16.0
1617246441.619243,450,-1.0
1617248039.845124,500,22.0
1617249642.230402,550,2.0
1617251235.580653,600,19.0
1617252872.359703,650,18.0
1617254483.949087,700,9.0
1617256113.336779,750,5.0
1617257732.191296,800,0.0
1617259349.658029,850,24.0
1617260951.941059,900,17.0
1617262554.577149,950,25.0
1617624301.963253,1000,8.0
1617625912.792514,1050,18.0
1617627505.270976,1100,18.0
1617629072.578897,1150,0.0
1617630662.018462,1200,37.0
1617632228.869772,1250,22.0
1617633796.200138,1300,20.0
1617635418.0238,1350,19.0
1617637038.138325,1400,30.0
1617638613.222347,1450,-1.0
1617650774.050039,1500,18.0
1617652402.177238,1550,31.0
1617654009.05203,1600,6.0
1617655607.747107,1650,12.0
1617657210.576573,1700,15.0
1617658845.279152,1750,19.0
1617660457.933214,1800,16.0
1617662070.439488,1850,10.0
1617663700.361208,1900,20.0
1617665331.948383,1950,32.0
