Wall time,Step,Value
1617232717.852605,5,29.0
1617232745.99489,6,32.0
1617232859.845274,10,33.0
1617232887.469707,11,33.0
1617232942.443495,13,30.0
1617232970.573628,14,31.0
1617232998.423296,15,32.0
1617233053.579558,17,33.0
1617233081.447171,18,34.0
1617233109.102791,19,32.0
1617233137.133971,20,35.0
1617233248.468899,24,36.0
1617233499.194767,33,37.0
1617233526.966334,34,37.0
1617233582.649809,36,28.0
1617233667.203093,39,31.0
1617233694.936634,40,28.0
1617233750.577389,42,35.0
1617233806.567304,44,30.0
1617233834.42686,45,30.0
1617233890.490881,47,30.0
1617233947.141428,49,29.0
1617233975.279979,50,31.0
1617234180.733019,53,34.0
1617234208.726669,54,32.0
1617234237.255508,55,33.0
1617234265.297116,56,35.0
1617234293.304738,57,29.0
1617234377.709459,60,27.0
1617234405.568407,61,24.0
1617234461.932343,63,22.0
1617234518.183778,65,19.0
1617234546.20958,66,22.0
1617234574.875414,67,18.0
1617234603.326927,68,17.0
1617234688.041282,71,20.0
1617234715.996512,72,18.0
1617234744.081104,73,19.0
1617234771.962627,74,16.0
1617234828.734564,76,19.0
1617234913.452486,79,24.0
1617235054.006934,84,25.0
1617235082.00487,85,20.0
1617235110.388248,86,17.0
1617235138.415102,87,20.0
1617235166.471582,88,22.0
1617235194.316167,89,24.0
1617235334.29874,94,21.0
1617235644.136917,102,14.0
1617235728.468757,105,10.0
1617235756.434965,106,12.0
1617235952.12724,113,35.0
1617236036.11137,116,24.0
1617236091.5312,118,16.0
1617236119.763088,119,15.0
1617236147.838044,120,13.0
1617236259.711245,124,16.0
1617236287.990431,125,22.0
1617236315.849987,126,22.0
1617236399.724815,129,27.0
1617236427.42694,130,23.0
1617236511.126545,133,20.0
1617236622.517128,137,21.0
1617236678.515957,139,21.0
1617236734.747314,141,16.0
1617236762.339746,142,15.0
1617236790.163441,143,14.0
1617236817.952435,144,12.0
1617236929.798237,148,24.0
1617236985.07731,150,26.0
1617237120.055031,153,15.0
1617237148.082148,154,18.0
1617237176.088365,155,18.0
1617237231.28388,157,24.0
1617237259.267014,158,27.0
1617237286.890576,159,29.0
1617237370.55074,162,24.0
1617237425.657451,164,20.0
1617237453.372365,165,16.0
1617237509.277126,167,23.0
1617237536.774302,168,26.0
1617237619.413353,171,31.0
1617237757.781802,176,27.0
1617237785.180526,177,26.0
1617237812.564077,178,30.0
1617237867.775948,180,30.0
1617237895.217843,181,33.0
1617237949.801412,183,18.0
1617238004.234097,185,12.0
1617238032.220614,186,20.0
1617238059.815907,187,24.0
1617238087.057258,188,27.0
1617238141.703081,190,20.0
1617238168.827813,191,14.0
1617238360.74454,198,24.0
1617238572.072169,202,19.0
1617238680.184919,206,32.0
1617238707.294447,207,35.0
1617238734.610962,208,38.0
1617238842.99182,212,44.0
1617238923.994721,215,41.0
1617239005.401192,218,18.0
1617239032.64425,219,11.0
1617239113.359296,222,18.0
1617239140.481251,223,23.0
1617239194.817541,225,32.0
1617239222.320779,226,36.0
1617239249.323555,227,36.0
1617239303.406106,229,32.0
1617239330.382965,230,32.0
1617239384.4057,232,34.0
1617239411.763255,233,32.0
1617239438.856072,234,35.0
1617239519.985625,237,41.0
1617239601.535031,240,39.0
1617239737.320673,245,44.0
1617239791.779408,247,46.0
1617239846.065824,249,49.0
1617239873.108961,250,49.0
1617240247.981807,255,37.0
1617240329.750699,258,39.0
1617240357.053946,259,39.0
1617240384.252453,260,42.0
1617240411.071904,261,45.0
1617240465.025581,263,46.0
1617240572.20344,267,46.0
