Wall time,Step,Value
1617355579.670971,50,0.0
1617357162.295773,100,4.0
1617358695.849044,150,-1.0
1617360349.65455,200,5.0
1617362006.038575,250,20.0
1617364110.639962,300,30.0
1617365859.415105,350,15.0
1617367597.611339,400,31.0
1617369329.340286,450,26.0
1617371082.197044,500,39.0
1617372822.304155,550,30.0
1617374599.996315,600,41.0
1617376358.347405,650,30.0
1617378152.547885,700,7.0
1617379960.321586,750,38.0
1617381768.703199,800,37.0
1617383600.990015,850,35.0
1617385460.629989,900,30.0
1617387344.762483,950,40.0
1617476829.37135,1000,28.0
1617478619.708855,1050,39.0
1617480376.56437,1100,36.0
1617482051.074665,1150,30.0
1617483762.007194,1200,39.0
1617485491.841545,1250,43.0
1617487225.144431,1300,38.0
1617488983.860767,1350,39.0
1617490739.520552,1400,42.0
1617616642.609265,1450,32.0
1617718356.215782,1500,36.0
1617720125.121341,1550,42.0
1617721858.150232,1600,37.0
1617723522.046238,1650,33.0
1617725182.551281,1700,39.0
1617726848.954309,1750,34.0
1617728544.304666,1800,44.0
1617730263.577744,1850,45.0
1617731996.744382,1900,39.0
1617733736.633786,1950,32.0
