Wall time,Step,Value
1617355579.674127,50,0.0
1617357162.299877,100,7.0
1617358695.852558,150,-1.0
1617360349.658819,200,24.0
1617362006.04205,250,33.0
1617364110.644951,300,47.0
1617365859.420153,350,31.0
1617367597.616655,400,44.0
1617369329.344368,450,40.0
1617371082.200961,500,49.0
1617372822.309612,550,45.0
1617374600.001033,600,48.0
1617376358.352697,650,43.0
1617378152.550459,700,14.0
1617379960.32587,750,45.0
1617381768.707068,800,48.0
1617383600.995319,850,49.0
1617385460.633621,900,46.0
1617387344.766059,950,47.0
1617476829.37698,1000,46.0
1617478619.717305,1050,47.0
1617480376.569046,1100,45.0
1617482051.078905,1150,46.0
1617483762.011842,1200,46.0
1617485491.846245,1250,48.0
1617487225.147681,1300,49.0
1617488983.864931,1350,46.0
1617490739.52518,1400,48.0
1617616642.613669,1450,48.0
1617718356.221645,1500,47.0
1617720125.127065,1550,48.0
1617721858.155251,1600,48.0
1617723522.052575,1650,45.0
1617725182.55606,1700,49.0
1617726848.958046,1750,43.0
1617728544.307256,1800,49.0
1617730263.582228,1850,48.0
1617731996.749007,1900,49.0
1617733736.637201,1950,46.0
