Wall time,Step,Value
1617355579.677235,50,-1.0
1617357162.303108,100,2.0
1617358695.856467,150,-1.0
1617360349.66178,200,-1.0
1617362006.045214,250,6.0
1617364110.649383,300,4.0
1617365859.423138,350,-1.0
1617367597.620114,400,15.0
1617369329.347147,450,4.0
1617371082.204307,500,13.0
1617372822.312629,550,8.0
1617374600.003311,600,27.0
1617376358.355149,650,14.0
1617378152.552293,700,0.0
1617379960.328271,750,18.0
1617381768.709312,800,16.0
1617383600.997972,850,0.0
1617385460.635834,900,8.0
1617387344.76786,950,30.0
1617476829.380571,1000,3.0
1617478619.720616,1050,21.0
1617480376.572337,1100,15.0
1617482051.082145,1150,9.0
1617483762.0151,1200,16.0
1617485491.84925,1250,37.0
1617487225.150372,1300,22.0
1617488983.867438,1350,25.0
1617490739.528037,1400,34.0
1617616642.617157,1450,-1.0
1617718356.226358,1500,22.0
1617720125.132108,1550,30.0
1617721858.159688,1600,19.0
1617723522.057022,1650,23.0
1617725182.560374,1700,15.0
1617726848.960254,1750,25.0
1617728544.31044,1800,37.0
1617730263.58485,1850,38.0
1617731996.751534,1900,23.0
1617733736.63914,1950,13.0
