Wall time,Step,Value
1617353999.936344,5,41.0
1617354029.980671,6,40.0
1617354150.537782,10,43.0
1617354181.298983,11,43.0
1617354241.961647,13,43.0
1617354272.207757,14,43.0
1617354302.2258,15,40.0
1617354362.360612,17,39.0
1617354392.608995,18,41.0
1617354423.027135,19,37.0
1617354453.689406,20,31.0
1617354574.740536,24,32.0
1617354849.309314,33,33.0
1617354879.368914,34,33.0
1617354940.84107,36,35.0
1617355031.828412,39,35.0
1617355062.240771,40,37.0
1617355122.907923,42,33.0
1617355183.741729,44,29.0
1617355213.829323,45,34.0
1617355274.13981,47,31.0
1617355335.090794,49,34.0
1617355365.364465,50,36.0
1617355670.726882,53,36.0
1617355700.802473,54,34.0
1617355731.212397,55,33.0
1617355761.272599,56,35.0
1617355791.381471,57,34.0
1617355881.800312,60,34.0
1617355911.897319,61,35.0
1617355972.182007,63,30.0
1617356032.499648,65,29.0
1617356062.262534,66,29.0
1617356092.259471,67,26.0
1617356122.486972,68,26.0
1617356213.350765,71,24.0
1617356243.306429,72,27.0
1617356273.056937,73,29.0
1617356303.200987,74,32.0
1617356363.611359,76,32.0
1617356454.281621,79,24.0
1617356605.435581,84,26.0
1617356635.316548,85,24.0
1617356665.160399,86,27.0
1617356695.185096,87,28.0
1617356725.447686,88,25.0
1617356755.700788,89,25.0
1617356907.742506,94,6.0
1617357222.812784,102,20.0
1617357314.15835,105,17.0
1617357344.490783,106,19.0
1617357555.408267,113,23.0
1617357645.917314,116,21.0
1617357705.849874,118,20.0
1617357736.079294,119,20.0
1617357766.403945,120,17.0
1617357886.828556,124,15.0
1617357917.034412,125,15.0
1617357947.666383,126,14.0
1617358037.7714,129,15.0
1617358067.56702,130,15.0
1617358157.572159,133,16.0
1617358277.044933,137,22.0
1617358336.970124,139,27.0
1617358397.20767,141,19.0
1617358427.104813,142,17.0
1617358456.699982,143,19.0
1617358486.830752,144,19.0
1617358606.335273,148,26.0
1617358666.337576,150,17.0
1617358786.307355,153,6.0
1617358816.462133,154,7.0
1617358846.698845,155,6.0
1617358906.939525,157,6.0
1617358937.121024,158,6.0
1617358966.971602,159,6.0
1617359057.113855,162,11.0
1617359116.572179,164,18.0
1617359146.251905,165,18.0
1617359205.075641,167,13.0
1617359234.841004,168,15.0
1617359322.649426,171,26.0
1617359469.286995,176,24.0
1617359498.59123,177,22.0
1617359527.670738,178,24.0
1617359586.57024,180,24.0
1617359615.849282,181,23.0
1617359674.601111,183,22.0
1617359732.959324,185,26.0
1617359762.295653,186,24.0
1617359791.684863,187,23.0
1617359820.946194,188,21.0
1617359878.988061,190,19.0
1617359907.958525,191,19.0
1617360111.499258,198,34.0
1617360410.576451,202,39.0
1617360527.242368,206,29.0
1617360556.292497,207,25.0
1617360585.170903,208,25.0
1617360701.045046,212,26.0
1617360787.856976,215,31.0
1617360875.345604,218,32.0
1617360904.219449,219,35.0
1617360990.62929,222,33.0
1617361019.678404,223,33.0
1617361077.513418,225,35.0
1617361106.378834,226,39.0
1617361135.032953,227,39.0
1617361194.284717,229,39.0
1617361223.899226,230,39.0
1617361282.467536,232,44.0
1617361311.600214,233,43.0
1617361340.823377,234,43.0
1617361428.950429,237,38.0
1617361516.02282,240,31.0
1617361661.746129,245,25.0
1617361720.353104,247,27.0
1617361779.161283,249,25.0
1617361808.046107,250,29.0
1617362160.552839,255,1.0
1617362259.90351,258,1.0
1617362293.834554,259,1.0
1617362327.731998,260,1.0
1617362669.9652,261,21.0
1617362735.61404,263,24.0
1617362861.150545,267,28.0
1617362923.4192,269,26.0
1617362986.249983,271,14.0
1617363049.219397,273,16.0
1617363206.22121,278,11.0
1617363270.291214,280,6.0
1617363395.823763,284,24.0
1617363552.252669,289,42.0
1617363614.224217,291,42.0
1617363645.099475,292,42.0
1617363738.251255,295,38.0
1617363800.253243,297,40.0
1617363831.041126,298,40.0
1617363862.098388,299,40.0
1617364141.991296,301,43.0
1617364172.924309,302,43.0
1617364204.230498,303,42.0
1617364328.394027,307,38.0
1617364359.174929,308,29.0
1617364420.337763,310,23.0
1617364512.450773,313,25.0
1617364635.465531,317,23.0
1617364666.340356,318,23.0
1617364697.11891,319,22.0
1617364727.556655,320,24.0
1617364788.682968,322,33.0
1617364880.710028,325,39.0
1617364911.198743,326,39.0
1617364941.699212,327,33.0
1617365034.255844,330,24.0
1617365064.747034,331,24.0
1617365125.701528,333,29.0
1617365310.156962,339,44.0
1617365371.543675,341,41.0
1617365463.10965,344,43.0
1617365493.465602,345,40.0
1617365554.462975,347,40.0
1617365585.218545,348,39.0
1617365951.375458,353,40.0
1617365981.963574,354,43.0
1617366042.79412,356,41.0
1617366103.62172,358,41.0
1617366134.137748,359,41.0
1617366164.553023,360,43.0
1617366255.676345,363,41.0
1617366286.267598,364,41.0
1617366376.832229,367,33.0
1617366407.480217,368,28.0
1617366468.386572,370,27.0
1617366498.482953,371,27.0
1617366558.478296,373,30.0
1617366680.036593,377,46.0
1617366709.856318,378,48.0
1617366739.796894,379,47.0
1617366799.858097,381,44.0
1617366830.053526,382,46.0
1617366919.756456,385,44.0
1617366949.735374,386,44.0
1617366979.491527,387,42.0
1617367009.884872,388,44.0
1617367069.65413,390,46.0
1617367099.6156,391,46.0
1617367129.594986,392,46.0
1617367159.5633,393,46.0
1617367659.615334,402,46.0
1617367689.822482,403,46.0
1617367750.014546,405,46.0
1617367839.54843,408,48.0
1617368048.182146,415,50.0
1617368077.750499,416,50.0
1617368195.64699,420,50.0
1617368225.058089,421,50.0
1617368254.654355,422,50.0
1617368314.002136,424,50.0
1617368373.320017,426,50.0
1617368492.354295,430,48.0
1617368766.274567,439,29.0
1617368795.906133,440,29.0
1617368825.552058,441,32.0
1617368855.231783,442,36.0
1617368914.266158,444,41.0
1617368943.99525,445,41.0
1617369033.047339,448,47.0
1617369358.756629,451,48.0
1617369568.903599,458,37.0
1617369601.594171,459,36.0
1617369632.241956,460,36.0
1617369662.423662,461,36.0
1617369722.445603,463,39.0
1617369752.887209,464,42.0
1617369783.135747,465,42.0
1617369844.174934,467,42.0
1617369874.896549,468,42.0
1617369904.689274,469,40.0
1617369965.967553,471,33.0
1617370027.206793,473,34.0
1617370058.26049,474,34.0
1617370180.68827,478,38.0
1617370395.234082,485,40.0
1617370490.926274,488,42.0
1617370521.123548,489,42.0
1617370581.453616,491,43.0
1617370641.739466,493,43.0
1617370731.331338,496,44.0
1617371291.811649,507,44.0
1617371381.526445,510,43.0
1617371411.563183,511,42.0
1617371441.617424,512,42.0
1617371501.447328,514,41.0
1617371560.976682,516,38.0
1617371591.123243,517,41.0
1617371651.037132,519,41.0
1617371801.280859,524,45.0
1617371831.220596,525,45.0
1617372011.681532,531,48.0
1617372072.125655,533,48.0
1617372102.070918,534,48.0
1617372132.308931,535,48.0
1617372162.145059,536,47.0
1617372191.924317,537,47.0
1617372222.112816,538,47.0
1617372252.052855,539,48.0
1617372282.220783,540,48.0
1617372312.716037,541,48.0
1617372343.038992,542,48.0
1617372403.976457,544,45.0
1617372494.654121,547,45.0
1617372525.193367,548,45.0
1617372555.444852,549,43.0
1617372852.374349,551,42.0
1617372974.597426,555,46.0
1617373035.393796,557,44.0
1617373096.010752,559,46.0
1617373217.652248,563,40.0
1617373248.325978,564,40.0
1617373278.986069,565,41.0
1617373340.088772,567,41.0
1617373400.890892,569,45.0
1617373462.123144,571,44.0
1617373523.551043,573,43.0
1617373554.066766,574,45.0
1617373646.601665,577,44.0
1617373707.909435,579,46.0
1617373738.41787,580,46.0
1617373769.307533,581,47.0
1617373800.200293,582,45.0
1617373830.964316,583,45.0
1617373861.473379,584,45.0
1617373922.458221,586,45.0
1617373953.576137,587,47.0
1617374107.266576,592,45.0
1617374138.128044,593,42.0
1617374199.634932,595,42.0
1617374230.039451,596,43.0
1617374260.629629,597,41.0
1617374352.076726,600,42.0
1617374660.92475,602,42.0
1617374721.312176,604,46.0
1617374782.671999,606,46.0
1617374843.872391,608,47.0
1617374905.592374,610,48.0
1617374936.37429,611,48.0
1617374966.794488,612,48.0
1617375058.582374,615,47.0
1617375182.382847,619,45.0
1617375213.462824,620,42.0
1617375275.593546,622,43.0
1617375306.443412,623,42.0
1617375368.707866,625,43.0
1617375491.326528,629,48.0
1617375645.730645,634,46.0
1617375860.98021,641,45.0
1617375891.777611,642,44.0
1617375954.426437,644,43.0
1617375985.331247,645,43.0
1617376015.901122,646,43.0
1617376046.567756,647,46.0
1617376077.037418,648,46.0
1617376108.091566,649,46.0
1617376387.65127,651,49.0
1617376418.717516,652,52.0
1617376542.493932,656,53.0
1617376573.886373,657,53.0
1617376636.320413,659,51.0
1617376697.613988,661,48.0
1617376789.722777,664,45.0
1617376851.653469,666,36.0
1617376882.831441,667,36.0
1617376913.331079,668,36.0
1617377005.943165,671,36.0
1617377036.472168,672,39.0
1617377067.822593,673,38.0
1617377098.49736,674,41.0
1617377129.555036,675,43.0
1617377191.489133,677,46.0
1617377222.238802,678,45.0
1617377253.508246,679,45.0
1617377316.059944,681,44.0
1617377347.166492,682,46.0
1617377378.852095,683,45.0
1617377409.425102,684,47.0
1617377441.070508,685,47.0
1617377472.227579,686,46.0
1617377534.528539,688,46.0
1617377565.941093,689,46.0
1617377658.798266,692,46.0
1617377782.437618,696,44.0
1617377875.047785,699,43.0
1617377906.423627,700,44.0
1617378181.78528,701,40.0
1617378242.20848,703,39.0
1617378272.387866,704,39.0
1617378303.740551,705,40.0
1617378333.967794,706,40.0
1617378395.781693,708,39.0
1617378426.811445,709,43.0
1617378457.277076,710,45.0
1617378581.674153,714,45.0
1617378706.243025,718,47.0
1617378737.541108,719,47.0
1617378799.576718,721,47.0
1617378830.511236,722,47.0
1617378862.038268,723,49.0
1617378893.136407,724,49.0
1617378925.235201,725,50.0
1617378956.460633,726,50.0
1617379051.186436,729,50.0
1617379081.79197,730,50.0
1617379269.29863,736,50.0
1617379331.957804,738,50.0
1617379363.341799,739,50.0
1617379395.195021,740,50.0
1617379427.222551,741,43.0
1617379490.590769,743,38.0
1617379585.048663,746,38.0
1617379617.029893,747,31.0
1617379711.002013,750,39.0
1617379989.726545,751,43.0
1617380019.315738,752,45.0
1617380081.317383,754,45.0
1617380144.231875,756,47.0
1617380239.829925,759,54.0
1617380270.870337,760,54.0
1617380333.806929,762,50.0
1617380428.456641,765,48.0
1617380460.608789,766,48.0
1617380492.911506,767,48.0
1617380556.21081,769,47.0
1617380587.296887,770,47.0
1617380619.015184,771,47.0
1617380682.784019,773,44.0
1617380714.156407,774,45.0
1617380745.811897,775,45.0
1617380905.164056,780,46.0
1617381032.883032,784,50.0
1617381064.502352,785,47.0
1617381128.675972,787,33.0
1617381192.260302,789,33.0
1617381256.158082,791,33.0
1617381288.044978,792,36.0
1617381319.777716,793,36.0
1617381351.861338,794,39.0
1617381384.718801,795,44.0
1617381416.287026,796,49.0
1617381480.407195,798,48.0
1617381544.047476,800,42.0
1617381829.337807,802,42.0
1617381924.700482,805,42.0
1617381988.806068,807,42.0
1617382020.29813,808,45.0
1617382052.405404,809,46.0
1617382178.571885,813,45.0
1617382241.79977,815,42.0
1617382273.238405,816,42.0
1617382335.871187,818,43.0
1617382432.021943,821,42.0
1617382495.900426,823,42.0
1617382528.073036,824,47.0
1617382560.201445,825,47.0
1617382655.705871,828,47.0
1617382751.902903,831,48.0
1617382783.53979,832,48.0
1617382847.357329,834,48.0
1617382911.604654,836,48.0
1617382975.763809,838,48.0
1617383134.915246,843,50.0
1617383198.564049,845,50.0
1617383230.006788,846,50.0
1617383262.286763,847,50.0
1617383293.382731,848,50.0
1617383630.973984,851,49.0
1617383819.014666,857,44.0
1617383882.50478,859,43.0
1617383913.809469,860,43.0
1617383945.752191,861,43.0
1617383977.031944,862,43.0
1617384008.953786,863,43.0
1617384137.029743,867,46.0
1617384200.733963,869,48.0
1617384232.267926,870,44.0
1617384328.499197,873,42.0
1617384359.749037,874,42.0
1617384392.162051,875,44.0
1617384424.397109,876,44.0
1617384456.49449,877,44.0
1617384520.764717,879,44.0
1617384552.285922,880,48.0
1617384584.29006,881,50.0
1617384615.987388,882,50.0
1617384680.042973,884,50.0
1617384776.63015,887,50.0
1617384840.703428,889,49.0
1617384872.401556,890,49.0
1617384937.52688,892,49.0
1617384970.077397,893,49.0
1617385065.915884,896,49.0
1617385098.049579,897,49.0
1617385162.150516,899,49.0
