Wall time,Step,Value
1617746464.904018,50,2.0
1617748005.204591,100,14.0
1617749448.405622,150,0.0
1617751062.982077,200,28.0
1617752656.252648,250,31.0
1617754237.171525,300,32.0
1617755812.845533,350,35.0
1617757394.165273,400,38.0
1617758976.799402,450,34.0
1617760555.112365,500,38.0
1617762140.042898,550,34.0
1617763737.957404,600,36.0
1617765331.100626,650,36.0
1617766930.890011,700,35.0
1617768512.245612,750,35.0
1617770132.725677,800,33.0
1617771734.930597,850,34.0
1617773379.837332,900,41.0
1617774990.479021,950,34.0
1617776619.90245,1000,36.0
1617778247.660678,1050,35.0
1617779899.584496,1100,24.0
1617781549.419537,1150,39.0
1617783289.22773,1200,25.0
1617784985.917002,1250,15.0
1617786605.085947,1300,39.0
1617788230.424376,1350,39.0
1617789913.720422,1400,32.0
1617791511.388891,1450,30.0
1617793625.626679,1500,32.0
1617795360.929904,1550,33.0
1617797108.378831,1600,35.0
1617798807.579104,1650,19.0
1617800544.456254,1700,37.0
1617802185.362028,1750,34.0
1617803817.171138,1800,38.0
1617805477.294743,1850,32.0
1617807097.320061,1900,39.0
1617808777.055905,1950,42.0
