Wall time,Step,Value
1617746464.906783,50,4.0
1617748005.208937,100,45.0
1617749448.408973,150,0.0
1617751062.986226,200,40.0
1617752656.256602,250,47.0
1617754237.175422,300,46.0
1617755812.84908,350,49.0
1617757394.168935,400,47.0
1617758976.802796,450,44.0
1617760555.115509,500,48.0
1617762140.049184,550,47.0
1617763737.959244,600,46.0
1617765331.104297,650,44.0
1617766930.894041,700,45.0
1617768512.248946,750,49.0
1617770132.729205,800,45.0
1617771734.932301,850,45.0
1617773379.840522,900,48.0
1617774990.48245,950,48.0
1617776619.904406,1000,47.0
1617778247.664074,1050,45.0
1617779899.587663,1100,39.0
1617781549.424028,1150,46.0
1617783289.230222,1200,38.0
1617784985.920289,1250,45.0
1617786605.087759,1300,49.0
1617788230.431847,1350,49.0
1617789913.723814,1400,46.0
1617791511.392011,1450,46.0
1617793625.629652,1500,43.0
1617795360.937002,1550,49.0
1617797108.384147,1600,47.0
1617798807.583964,1650,37.0
1617800544.460381,1700,48.0
1617802185.365483,1750,46.0
1617803817.174743,1800,50.0
1617805477.298562,1850,47.0
1617807097.323265,1900,49.0
1617808777.059338,1950,47.0
