Wall time,Step,Value
1617746464.909985,50,0.0
1617748005.211728,100,-1.0
1617749448.411462,150,-1.0
1617751062.989148,200,10.0
1617752656.259245,250,17.0
1617754237.17775,300,19.0
1617755812.853552,350,18.0
1617757394.170771,400,28.0
1617758976.804492,450,24.0
1617760555.11721,500,21.0
1617762140.050981,550,21.0
1617763737.961031,600,14.0
1617765331.106311,650,17.0
1617766930.896204,700,23.0
1617768512.250654,750,-1.0
1617770132.730974,800,0.0
1617771734.933811,850,-1.0
1617773379.842642,900,37.0
1617774990.484021,950,20.0
1617776619.905994,1000,16.0
1617778247.665604,1050,15.0
1617779899.589155,1100,0.0
1617781549.427538,1150,23.0
1617783289.232245,1200,3.0
1617784985.921833,1250,-1.0
1617786605.089568,1300,26.0
1617788230.436287,1350,22.0
1617789913.725445,1400,0.0
1617791511.393666,1450,14.0
1617793625.632585,1500,17.0
1617795360.942679,1550,19.0
1617797108.386752,1600,-1.0
1617798807.587259,1650,-1.0
1617800544.462956,1700,-1.0
1617802185.367367,1750,21.0
1617803817.176655,1800,-1.0
1617805477.301483,1850,3.0
1617807097.324909,1900,21.0
1617808777.061172,1950,33.0
