Wall time,Step,Value
1617745106.654296,5,23.0
1617745135.410551,6,24.0
1617745249.701879,10,17.0
1617745278.22168,11,14.0
1617745337.145507,13,17.0
1617745366.081474,14,20.0
1617745395.520886,15,20.0
1617745454.007591,17,17.0
1617745483.086596,18,18.0
1617745512.205618,19,18.0
1617745541.211754,20,18.0
1617745657.190569,24,15.0
1617745917.59913,33,15.0
1617745946.379229,34,15.0
1617746003.826167,36,15.0
1617746090.317892,39,15.0
1617746119.008999,40,14.0
1617746175.901674,42,15.0
1617746231.428099,44,15.0
1617746259.274747,45,14.0
1617746314.931015,47,14.0
1617746370.625018,49,17.0
1617746398.343564,50,17.0
1617746549.146647,53,24.0
1617746577.070688,54,21.0
1617746604.855651,55,19.0
1617746632.714667,56,17.0
1617746660.587776,57,13.0
1617746744.186615,60,19.0
1617746771.617012,61,22.0
1617746827.391664,63,13.0
1617746883.060934,65,16.0
1617746910.819495,66,18.0
1617746938.390969,67,22.0
1617746966.117891,68,23.0
1617747048.994344,71,28.0
1617747076.876156,72,25.0
1617747104.600074,73,23.0
1617747132.20973,74,22.0
1617747187.608911,76,12.0
1617747270.930675,79,22.0
1617747410.354256,84,25.0
1617747438.313442,85,19.0
1617747465.970429,86,19.0
1617747493.907028,87,4.0
1617747521.54725,88,7.0
1617747549.20854,89,13.0
1617747688.002165,94,11.0
1617748060.387232,102,34.0
1617748143.376285,105,14.0
1617748171.055039,106,18.0
1617748365.720305,113,22.0
1617748448.894957,116,27.0
1617748504.340258,118,33.0
1617748531.987883,119,34.0
1617748559.608795,120,38.0
1617748670.358467,124,31.0
1617748698.448554,125,22.0
1617748726.386728,126,25.0
1617748809.323873,129,26.0
1617748836.790817,130,24.0
1617748919.771306,133,38.0
1617749030.241857,137,44.0
1617749085.658866,139,43.0
1617749141.191338,141,43.0
1617749168.785283,142,43.0
1617749196.302589,143,45.0
1617749223.957297,144,43.0
1617749334.429634,148,34.0
1617749390.471768,150,23.0
1617749532.027046,153,24.0
1617749559.665036,154,22.0
1617749587.357082,155,25.0
1617749642.578382,157,23.0
1617749670.079103,158,25.0
1617749697.690597,159,29.0
1617749780.747143,162,32.0
1617749836.541217,164,34.0
1617749864.340261,165,36.0
1617749919.785784,167,38.0
1617749947.472414,168,34.0
1617750030.592869,171,38.0
1617750169.362409,176,43.0
1617750197.341316,177,41.0
1617750225.457188,178,40.0
1617750281.370366,180,40.0
1617750309.607266,181,40.0
1617750365.570529,183,39.0
1617750421.839148,185,41.0
1617750450.054411,186,44.0
1617750478.182687,187,44.0
1617750506.260383,188,47.0
1617750562.693477,190,46.0
1617750590.908187,191,44.0
1617750788.517847,198,43.0
1617751119.212993,202,49.0
1617751231.590792,206,48.0
1617751259.711004,207,48.0
1617751287.834332,208,48.0
1617751399.487449,212,42.0
1617751483.714054,215,46.0
1617751567.406404,218,44.0
1617751595.341096,219,42.0
1617751679.531839,222,41.0
1617751707.383324,223,41.0
1617751763.102136,225,39.0
1617751791.13598,226,38.0
1617751819.202341,227,39.0
1617751874.533637,229,43.0
1617751902.386745,230,43.0
1617751957.967849,232,43.0
1617751985.698881,233,43.0
1617752013.652557,234,42.0
1617752096.854509,237,33.0
1617752180.147392,240,22.0
1617752318.190244,245,34.0
1617752373.499427,247,41.0
1617752428.767516,249,43.0
1617752456.534049,250,41.0
1617752793.812269,255,43.0
1617752876.270266,258,42.0
1617752903.837413,259,44.0
1617752931.449201,260,44.0
1617752959.035996,261,44.0
1617753014.038435,263,44.0
1617753123.863465,267,44.0
1617753178.510854,269,43.0
1617753233.749917,271,42.0
1617753288.807692,273,42.0
1617753426.092153,278,45.0
1617753481.014256,280,44.0
1617753590.556325,284,41.0
1617753728.060511,289,41.0
1617753783.009694,291,43.0
1617753810.264473,292,43.0
1617753892.146555,295,44.0
1617753946.977264,297,47.0
1617753974.55109,298,46.0
1617754001.854925,299,46.0
1617754264.145157,301,46.0
1617754291.502086,302,43.0
1617754318.957591,303,41.0
1617754427.257818,307,38.0
1617754454.647156,308,39.0
1617754508.827435,310,39.0
1617754590.186804,313,32.0
1617754698.583402,317,28.0
1617754725.574515,318,28.0
1617754752.447239,319,32.0
1617754779.238841,320,36.0
1617754833.366759,322,38.0
1617754914.227231,325,46.0
1617754941.053983,326,48.0
1617754967.998263,327,48.0
1617755048.438012,330,50.0
1617755075.272764,331,50.0
1617755128.521184,333,50.0
1617755290.573281,339,46.0
1617755344.547648,341,40.0
1617755425.064516,344,43.0
1617755451.957458,345,42.0
1617755506.063195,347,41.0
1617755532.91544,348,39.0
1617755893.628792,353,47.0
1617755920.671107,354,47.0
1617755974.372535,356,48.0
1617756028.490886,358,46.0
1617756055.359522,359,48.0
1617756082.271065,360,45.0
1617756162.550221,363,45.0
1617756189.151558,364,45.0
1617756268.957277,367,48.0
1617756295.601644,368,50.0
1617756349.419682,370,45.0
1617756376.402233,371,45.0
1617756430.056472,373,45.0
1617756538.09743,377,42.0
1617756564.802892,378,42.0
1617756591.560819,379,44.0
1617756644.993674,381,47.0
1617756671.754206,382,46.0
1617756751.966767,385,45.0
1617756779.17334,386,46.0
1617756805.942729,387,44.0
1617756832.761808,388,43.0
1617756886.260844,390,40.0
1617756913.217346,391,40.0
1617756940.090006,392,42.0
1617756966.990053,393,39.0
1617757449.32033,402,42.0
1617757476.00837,403,42.0
1617757529.223566,405,39.0
1617757610.668874,408,42.0
1617757799.020671,415,39.0
1617757826.015212,416,39.0
1617757933.818225,420,44.0
1617757960.697301,421,48.0
1617757987.707706,422,50.0
1617758042.056222,424,50.0
1617758095.838016,426,48.0
1617758204.345475,430,41.0
1617758447.496377,439,45.0
1617758474.453556,440,44.0
1617758501.398781,441,44.0
1617758528.54633,442,44.0
1617758582.361186,444,44.0
1617758609.31752,445,44.0
1617758690.684628,448,48.0
1617759003.693104,451,39.0
1617759193.078337,458,36.0
1617759220.432814,459,39.0
1617759247.24568,460,39.0
1617759274.233194,461,40.0
1617759328.170862,463,40.0
1617759355.376052,464,40.0
1617759382.349268,465,40.0
1617759436.533756,467,41.0
1617759463.457386,468,45.0
1617759490.527187,469,49.0
1617759544.413658,471,49.0
1617759598.495043,473,49.0
1617759626.142297,474,49.0
1617759735.908178,478,46.0
