Wall time,Step,Value
1618232761.747437,50,2.0
1618234411.278012,100,1.0
1618236083.082881,150,2.0
1618237762.493998,200,18.0
1618239384.152296,250,20.0
1618240946.967731,300,5.0
1618242399.758139,350,5.0
1618243875.646084,400,9.0
1618245468.772901,450,38.0
1618247050.076401,500,35.0
1618248602.329978,550,30.0
1618250182.697616,600,40.0
1618251799.662042,650,41.0
1618253400.524168,700,40.0
1618255006.424482,750,40.0
1618256599.450566,800,32.0
1618258227.327445,850,36.0
1618259810.249456,900,26.0
1618261490.703693,950,48.0
1618263174.624771,1000,37.0
1618264868.389121,1050,43.0
1618266574.515629,1100,43.0
1618268303.147809,1150,28.0
1618270037.96401,1200,28.0
1618271786.91767,1250,47.0
1618273543.443408,1300,38.0
1618275286.96573,1350,34.0
1618277020.451141,1400,34.0
1618278760.382859,1450,40.0
1618280552.128752,1500,42.0
1618282331.451689,1550,43.0
1618284126.865897,1600,39.0
1618285922.907049,1650,38.0
1618287764.195654,1700,15.0
1618289647.085801,1750,41.0
1618291546.991783,1800,40.0
1618293437.969143,1850,39.0
1618295367.515712,1900,36.0
1618297321.097825,1950,37.0
