Wall time,Step,Value
1618232761.754132,50,3.0
1618234411.28302,100,3.0
1618236083.087646,150,6.0
1618237762.497862,200,40.0
1618239384.156443,250,39.0
1618240946.971505,300,24.0
1618242399.760252,350,28.0
1618243875.64959,400,24.0
1618245468.777265,450,50.0
1618247050.080006,500,50.0
1618248602.333299,550,50.0
1618250182.700931,600,50.0
1618251799.665098,650,48.0
1618253400.526087,700,50.0
1618255006.427633,750,50.0
1618256599.454043,800,50.0
1618258227.330546,850,47.0
1618259810.252566,900,50.0
1618261490.707772,950,50.0
1618263174.627696,1000,46.0
1618264868.392405,1050,50.0
1618266574.518696,1100,50.0
1618268303.150846,1150,41.0
1618270037.967639,1200,41.0
1618271786.920977,1250,50.0
1618273543.446547,1300,50.0
1618275286.968784,1350,48.0
1618277020.45305,1400,50.0
1618278760.385938,1450,50.0
1618280552.132333,1500,50.0
1618282331.454788,1550,50.0
1618284126.870114,1600,50.0
1618285922.913291,1650,50.0
1618287764.199034,1700,37.0
1618289647.089102,1750,50.0
1618291546.994755,1800,50.0
1618293437.972053,1850,49.0
1618295367.517945,1900,50.0
1618297321.101002,1950,43.0
