Wall time,Step,Value
1618232761.75885,50,-1.0
1618234411.285898,100,0.0
1618236083.090743,150,-1.0
1618237762.501798,200,1.0
1618239384.159106,250,2.0
1618240946.973594,300,-1.0
1618242399.762153,350,1.0
1618243875.651332,400,1.0
1618245468.779252,450,27.0
1618247050.081846,500,14.0
1618248602.335177,550,12.0
1618250182.702631,600,22.0
1618251799.666595,650,29.0
1618253400.527589,700,4.0
1618255006.429163,750,7.0
1618256599.455592,800,14.0
1618258227.332007,850,16.0
1618259810.254018,900,0.0
1618261490.709342,950,46.0
1618263174.629104,1000,27.0
1618264868.394029,1050,21.0
1618266574.520236,1100,23.0
1618268303.152511,1150,8.0
1618270037.969549,1200,14.0
1618271786.922505,1250,40.0
1618273543.448001,1300,22.0
1618275286.970349,1350,12.0
1618277020.454759,1400,13.0
1618278760.387421,1450,18.0
1618280552.134182,1500,25.0
1618282331.456653,1550,1.0
1618284126.872107,1600,18.0
1618285922.914783,1650,14.0
1618287764.200525,1700,0.0
1618289647.09062,1750,6.0
1618291546.996132,1800,19.0
1618293437.973397,1850,19.0
1618295367.519705,1900,8.0
1618297321.102589,1950,32.0
