Wall time,Step,Value
1618231214.575646,5,33.0
1618231244.011181,6,26.0
1618231361.718776,10,24.0
1618231391.089596,11,29.0
1618231450.898473,13,36.0
1618231481.226155,14,36.0
1618231510.90037,15,37.0
1618231570.339553,17,31.0
1618231600.418631,18,25.0
1618231630.857175,19,24.0
1618231667.533915,20,20.0
1618231788.200614,24,24.0
1618232061.012689,33,30.0
1618232091.519383,34,32.0
1618232152.964203,36,38.0
1618232246.164287,39,37.0
1618232278.38261,40,37.0
1618232341.375278,42,37.0
1618232405.483875,44,29.0
1618232446.820945,45,29.0
1618232507.892786,47,30.0
1618232569.324285,49,30.0
1618232600.031596,50,30.0
1618232862.984313,53,19.0
1618232893.91887,54,20.0
1618232924.682586,55,23.0
1618232954.724088,56,25.0
1618232985.091496,57,22.0
1618233076.524368,60,26.0
1618233107.207918,61,23.0
1618233168.505296,63,22.0
1618233229.200843,65,20.0
1618233259.279197,66,24.0
1618233289.779188,67,25.0
1618233320.207191,68,17.0
1618233412.130862,71,15.0
1618233442.453853,72,18.0
1618233472.653584,73,21.0
1618233502.372908,74,19.0
1618233563.473232,76,16.0
1618233655.343622,79,18.0
1618233807.574776,84,12.0
1618233838.239666,85,16.0
1618233869.789552,86,17.0
1618233901.056037,87,21.0
1618233933.053409,88,25.0
1618233965.338123,89,29.0
1618234127.780334,94,13.0
1618234474.919946,102,22.0
1618234568.110322,105,12.0
1618234598.932197,106,12.0
1618234811.516881,113,15.0
1618234902.355175,116,20.0
1618234962.66165,118,28.0
1618234992.519268,119,26.0
1618235022.940338,120,25.0
1618235144.313205,124,14.0
1618235174.793764,125,13.0
1618235205.267503,126,12.0
1618235296.082891,129,18.0
1618235326.324502,130,22.0
1618235417.242962,133,19.0
1618235538.700863,137,21.0
1618235606.071617,139,17.0
1618235666.380733,141,18.0
1618235696.672808,142,19.0
1618235726.757163,143,22.0
1618235756.836048,144,26.0
1618235877.033243,148,17.0
1618235936.33001,150,24.0
1618236173.321588,153,27.0
1618236203.450079,154,24.0
1618236233.396099,155,20.0
1618236293.527139,157,16.0
1618236323.466908,158,13.0
1618236352.974033,159,15.0
1618236443.192088,162,23.0
1618236503.00632,164,30.0
1618236533.146756,165,30.0
1618236592.55789,167,28.0
1618236622.602786,168,32.0
1618236712.158249,171,38.0
1618236863.501092,176,34.0
1618236893.706712,177,27.0
1618236924.174869,178,24.0
1618236985.724033,180,27.0
1618237015.951157,181,29.0
1618237075.700641,183,32.0
1618237135.351601,185,36.0
1618237165.57738,186,35.0
1618237195.422327,187,37.0
1618237225.370636,188,37.0
1618237285.528544,190,42.0
1618237315.402187,191,36.0
1618237526.612241,198,41.0
1618237821.759402,202,29.0
1618237940.561545,206,27.0
1618237970.730957,207,30.0
1618238000.395579,208,32.0
1618238119.58129,212,35.0
1618238209.024813,215,30.0
1618238297.812113,218,28.0
1618238327.981436,219,25.0
1618238417.685565,222,26.0
1618238446.845904,223,25.0
1618238502.865681,225,27.0
1618238531.404102,226,27.0
1618238560.068899,227,27.0
1618238616.831796,229,30.0
1618238644.496253,230,34.0
1618238700.065807,232,35.0
1618238727.917315,233,38.0
1618238755.861676,234,41.0
1618238838.456753,237,41.0
1618238921.819764,240,42.0
1618239061.102006,245,48.0
1618239116.392812,247,46.0
1618239171.522784,249,47.0
1618239199.305019,250,46.0
1618239523.105366,255,43.0
1618239606.73653,258,43.0
1618239634.283771,259,44.0
1618239661.718104,260,46.0
1618239689.188926,261,44.0
1618239744.449839,263,42.0
1618239855.407324,267,37.0
1618239912.031824,269,34.0
1618239967.846912,271,31.0
1618240023.524285,273,31.0
1618240161.598284,278,35.0
1618240216.485842,280,36.0
1618240327.865586,284,43.0
1618240465.756001,289,45.0
1618240521.606425,291,38.0
1618240549.44579,292,38.0
1618240633.415084,295,37.0
1618240688.945808,297,36.0
1618240716.911149,298,39.0
1618240744.5295,299,39.0
1618240974.286518,301,34.0
1618241001.381127,302,35.0
1618241029.075482,303,35.0
1618241140.942106,307,40.0
1618241168.071154,308,41.0
1618241222.976694,310,45.0
1618241304.978495,313,48.0
1618241415.161283,317,40.0
1618241443.405245,318,40.0
1618241470.928261,319,39.0
1618241498.909933,320,40.0
1618241553.217125,322,38.0
1618241635.305685,325,41.0
1618241662.934263,326,43.0
1618241690.192044,327,41.0
1618241773.299579,330,43.0
1618241800.761499,331,45.0
1618241855.427153,333,45.0
1618242019.102606,339,33.0
1618242075.24848,341,36.0
1618242158.299054,344,47.0
1618242185.957199,345,47.0
1618242241.436494,347,47.0
1618242269.21474,348,47.0
1618242481.440658,353,45.0
1618242508.596223,354,45.0
1618242563.147746,356,45.0
1618242617.719334,358,44.0
1618242646.149887,359,44.0
1618242674.102683,360,45.0
1618242756.089621,363,46.0
1618242783.638976,364,47.0
1618242865.627096,367,49.0
1618242892.95584,368,49.0
1618242947.720952,370,44.0
1618242975.561896,371,44.0
1618243030.479391,373,44.0
1618243140.273519,377,40.0
1618243167.840233,378,40.0
1618243195.615733,379,42.0
1618243249.934012,381,39.0
1618243277.584263,382,39.0
1618243359.67331,385,40.0
1618243386.603766,386,40.0
1618243413.804531,387,40.0
1618243440.954127,388,40.0
1618243495.777818,390,32.0
1618243523.125197,391,23.0
1618243550.021982,392,14.0
1618243578.025973,393,11.0
1618243931.045532,402,25.0
1618243958.499369,403,26.0
1618244013.102697,405,27.0
1618244094.836101,408,35.0
1618244286.512587,415,44.0
1618244313.856337,416,46.0
1618244423.448291,420,47.0
1618244451.048404,421,45.0
1618244479.182064,422,46.0
1618244534.519068,424,44.0
1618244589.733292,426,43.0
1618244699.932375,430,44.0
1618244946.101876,439,46.0
1618244973.432454,440,45.0
1618245001.036425,441,45.0
1618245028.923375,442,45.0
1618245082.841042,444,46.0
1618245111.004939,445,48.0
1618245193.311286,448,47.0
1618245495.301135,451,41.0
1618245685.497613,458,43.0
1618245712.852386,459,43.0
1618245740.571816,460,48.0
1618245768.327252,461,48.0
1618245826.287046,463,47.0
1618245853.990501,464,47.0
1618245883.419233,465,46.0
1618245941.041825,467,46.0
1618245968.826361,468,45.0
1618245996.413663,469,45.0
1618246050.311796,471,46.0
1618246104.793274,473,46.0
1618246132.283414,474,46.0
1618246241.738966,478,44.0
1618246435.330029,485,43.0
1618246519.834159,488,46.0
1618246547.263205,489,46.0
1618246602.342756,491,47.0
1618246657.799007,493,44.0
1618246739.753454,496,33.0
1618247242.130767,507,43.0
1618247326.018713,510,45.0
1618247353.605321,511,44.0
1618247381.170223,512,45.0
1618247435.476517,514,46.0
1618247490.26129,516,46.0
1618247517.843341,517,43.0
1618247572.769305,519,45.0
1618247709.363059,524,43.0
1618247736.574483,525,42.0
1618247902.756084,531,43.0
1618247957.341615,533,42.0
1618247984.993548,534,42.0
1618248012.672845,535,42.0
1618248040.162242,536,43.0
1618248067.516529,537,43.0
1618248095.398029,538,45.0
1618248122.743768,539,45.0
1618248150.202418,540,45.0
1618248177.246307,541,45.0
1618248204.787493,542,48.0
1618248260.80793,544,48.0
1618248343.330321,547,48.0
1618248370.716239,548,48.0
1618248398.783414,549,47.0
1618248628.548603,551,43.0
1618248737.841659,555,32.0
1618248792.212359,557,34.0
1618248847.124389,559,36.0
1618248956.703083,563,46.0
1618248984.522585,564,46.0
1618249011.946458,565,46.0
1618249067.415667,567,42.0
1618249123.110532,569,44.0
1618249177.816011,571,44.0
1618249232.882743,573,43.0
1618249260.611571,574,43.0
1618249344.376384,577,43.0
1618249399.921495,579,32.0
1618249427.429322,580,30.0
1618249455.288366,581,27.0
1618249482.814114,582,30.0
1618249510.030583,583,32.0
1618249537.392253,584,34.0
1618249592.450847,586,38.0
1618249619.977255,587,42.0
1618249759.566881,592,44.0
1618249787.1436,593,44.0
1618249841.517254,595,46.0
1618249868.527491,596,46.0
1618249895.822339,597,46.0
1618249979.206132,600,49.0
1618250237.369075,602,44.0
1618250291.53822,604,44.0
1618250345.817322,606,41.0
1618250400.487637,608,35.0
1618250456.307196,610,35.0
1618250484.462685,611,34.0
1618250511.925571,612,34.0
1618250595.354089,615,35.0
1618250705.963374,619,40.0
1618250733.896705,620,41.0
1618250788.983034,622,46.0
1618250817.107792,623,48.0
1618250872.973133,625,46.0
1618250983.81768,629,46.0
1618251122.387595,634,46.0
1618251317.082676,641,41.0
1618251344.769001,642,41.0
1618251399.454802,644,42.0
1618251426.665268,645,42.0
1618251454.394357,646,42.0
1618251481.54161,647,43.0
1618251508.740843,648,43.0
1618251537.087684,649,45.0
1618251826.138318,651,53.0
1618251853.409451,652,53.0
1618251964.612343,656,43.0
1618251991.658968,657,41.0
1618252047.919243,659,38.0
1618252102.842927,661,40.0
1618252184.290812,664,47.0
1618252239.502319,666,48.0
1618252266.56765,667,49.0
1618252294.018535,668,46.0
1618252376.932168,671,46.0
1618252404.739703,672,46.0
1618252432.250215,673,46.0
1618252460.085451,674,46.0
1618252487.898404,675,46.0
1618252543.803005,677,47.0
1618252571.459733,678,50.0
1618252599.073072,679,50.0
1618252653.66354,681,50.0
1618252681.250432,682,50.0
1618252709.930287,683,50.0
1618252738.511669,684,45.0
1618252766.38794,685,45.0
1618252793.801467,686,45.0
1618252849.778945,688,38.0
1618252877.465821,689,35.0
1618252960.085653,692,37.0
1618253071.185908,696,40.0
1618253155.105048,699,45.0
1618253183.243386,700,44.0
1618253427.653143,701,42.0
1618253482.336013,703,41.0
1618253510.115901,704,41.0
1618253537.476753,705,41.0
1618253565.210671,706,41.0
1618253620.386758,708,43.0
1618253648.026442,709,45.0
1618253675.51956,710,48.0
1618253787.765773,714,37.0
1618253898.138256,718,37.0
1618253926.181349,719,40.0
1618253980.827178,721,46.0
1618254008.538578,722,48.0
1618254036.386701,723,48.0
1618254064.357388,724,48.0
1618254092.153907,725,48.0
1618254120.212,726,50.0
1618254202.74122,729,48.0
1618254230.435471,730,48.0
1618254396.389845,736,46.0
1618254451.845417,738,46.0
1618254479.867958,739,48.0
1618254507.63801,740,47.0
1618254535.628401,741,47.0
1618254591.0239,743,46.0
1618254674.812278,746,46.0
1618254702.104818,747,46.0
1618254785.460069,750,48.0
1618255033.614509,751,45.0
1618255060.851692,752,46.0
1618255115.587774,754,46.0
1618255171.457814,756,43.0
1618255254.465614,759,43.0
1618255282.111572,760,47.0
1618255337.451495,762,44.0
1618255420.773346,765,47.0
1618255448.537272,766,47.0
1618255475.770208,767,47.0
1618255531.393669,769,47.0
1618255559.090758,770,47.0
1618255587.201597,771,49.0
1618255642.985716,773,49.0
1618255670.676272,774,48.0
1618255698.282963,775,48.0
1618255838.068753,780,44.0
1618255950.240369,784,45.0
1618255978.107295,785,44.0
1618256034.172518,787,44.0
1618256090.615794,789,46.0
1618256145.917463,791,45.0
1618256173.903107,792,45.0
1618256201.833004,793,45.0
1618256229.372533,794,42.0
1618256257.012257,795,42.0
1618256285.303196,796,37.0
1618256342.008892,798,39.0
1618256397.680014,800,40.0
1618256654.862723,802,37.0
1618256737.170417,805,42.0
1618256794.106161,807,42.0
1618256822.319081,808,42.0
1618256850.452042,809,42.0
1618256962.282202,813,49.0
1618257018.642648,815,47.0
1618257046.355144,816,48.0
1618257102.365034,818,47.0
1618257186.616412,821,47.0
1618257244.042238,823,45.0
1618257272.471474,824,47.0
1618257300.72695,825,47.0
1618257384.440587,828,47.0
1618257468.173121,831,47.0
1618257496.522418,832,49.0
1618257552.478374,834,49.0
1618257607.920665,836,49.0
1618257664.746005,838,49.0
1618257805.761024,843,46.0
1618257862.635162,845,46.0
1618257890.602347,846,46.0
1618257918.951182,847,46.0
1618257947.197223,848,45.0
1618258254.674327,851,47.0
1618258421.52982,857,45.0
1618258477.840896,859,45.0
1618258506.577962,860,45.0
1618258535.461716,861,45.0
1618258563.690208,862,45.0
1618258591.82492,863,45.0
1618258703.994481,867,49.0
1618258760.851551,869,49.0
1618258788.876781,870,50.0
1618258873.145093,873,48.0
1618258900.82386,874,48.0
1618258929.021358,875,47.0
1618258958.064412,876,47.0
1618258987.038204,877,47.0
1618259044.904392,879,47.0
1618259073.262235,880,47.0
1618259101.312292,881,47.0
1618259129.855165,882,47.0
1618259186.875485,884,49.0
1618259271.885422,887,50.0
1618259328.176114,889,49.0
1618259356.708494,890,49.0
1618259413.282403,892,49.0
1618259441.472514,893,49.0
1618259527.84753,896,49.0
1618259556.780486,897,49.0
1618259613.979292,899,50.0
1618259642.884908,900,50.0
1618260009.612491,907,46.0
1618260038.888966,908,46.0
1618260067.70925,909,46.0
1618260095.968816,910,46.0
1618260124.161543,911,45.0
1618260152.626182,912,45.0
1618260180.706554,913,45.0
1618260237.799396,915,45.0
1618260266.293226,916,41.0
1618260294.91667,917,39.0
1618260380.921686,920,44.0
1618260408.942941,921,44.0
1618260437.033269,922,43.0
1618260465.195022,923,43.0
1618260521.704682,925,44.0
1618260695.662597,931,46.0
1618260724.319454,932,47.0
1618260752.743432,933,47.0
1618260810.251507,935,48.0
1618260924.346116,939,46.0
1618261010.233379,942,46.0
1618261096.038508,945,47.0
1618261211.442043,949,45.0
1618261546.21206,952,47.0
1618261574.523712,953,46.0
1618261602.799986,954,46.0
1618261661.116148,956,48.0
1618261690.074404,957,48.0
1618261718.975146,958,49.0
1618261805.062407,961,45.0
1618261833.783734,962,45.0
1618261890.840767,964,47.0
1618261948.706161,966,44.0
1618261977.303557,967,44.0
1618262035.394577,969,47.0
1618262092.433108,971,47.0
1618262121.113896,972,47.0
1618262178.312117,974,47.0
1618262235.461369,976,47.0
1618262264.15862,977,47.0
1618262293.65554,978,47.0
1618262322.511758,979,46.0
1618262410.981133,982,46.0
1618262440.200402,983,46.0
1618262469.585392,984,47.0
1618262556.087134,987,47.0
1618262585.011265,988,47.0
1618262815.708422,996,48.0
1618262902.010301,999,46.0
1618262931.025357,1000,46.0
1618263230.337089,1002,43.0
1618263287.492866,1004,42.0
