Wall time,Step,Value
1617837711.264745,50,1.0
1617839136.825501,100,1.0
1617840542.654138,150,0.0
1617841923.994971,200,0.0
1617843310.372393,250,5.0
1617844736.365856,300,11.0
1617846243.251843,350,20.0
1617847646.966968,400,5.0
1617849144.261974,450,19.0
1617850571.796552,500,8.0
1617852047.166333,550,21.0
1617853521.139049,600,14.0
1617855060.857959,650,24.0
1617856550.126638,700,15.0
1617861569.313101,750,4.0
1617863033.705932,800,11.0
1617864565.215834,850,19.0
1617866056.294966,900,18.0
1617867506.915524,950,12.0
1617868943.051902,1000,13.0
1617870329.130702,1050,5.0
1617871798.753312,1100,20.0
1617873312.605833,1150,27.0
1617874850.763035,1200,29.0
1617876300.666095,1250,5.0
1617877779.78054,1300,12.0
1617879230.015823,1350,6.0
1617880826.573928,1400,27.0
1617882408.768262,1450,24.0
1617883960.058469,1500,16.0
1617885448.368489,1550,8.0
1617886934.68866,1600,11.0
1617888430.847671,1650,8.0
1617890002.797705,1700,18.0
1617891515.271026,1750,9.0
1617893030.854613,1800,9.0
1617894634.996908,1850,13.0
1617896197.613337,1900,6.0
1617897879.843614,1950,25.0
