Wall time,Step,Value
1620235348.251742,50,0.0
1620236985.255316,100,1.0
1620238570.298253,150,1.0
1620240212.188005,200,1.0
1620241867.879437,250,8.0
1620243585.172747,300,29.0
1620245206.391249,350,10.0
1620246878.101829,400,7.0
1620248547.726988,450,9.0
1620250184.969788,500,23.0
1620251872.9818,550,27.0
1620253595.752945,600,32.0
1620255315.557583,650,30.0
1620256957.303906,700,13.0
1620258535.487051,750,8.0
1620260237.956393,800,33.0
1620261873.775932,850,21.0
1620263554.571884,900,23.0
1620265241.89052,950,19.0
1620267037.750989,1000,36.0
1620268746.445258,1050,33.0
1620270352.331214,1100,11.0
1620272029.232306,1150,23.0
1620273769.70344,1200,26.0
1620275452.086374,1250,14.0
1620277129.679089,1300,21.0
1620278772.725918,1350,14.0
1620280417.538378,1400,14.0
1620282187.526098,1450,27.0
1620283888.788313,1500,13.0
1620285881.782764,1550,19.0
1620287551.4566,1600,25.0
1620289239.375283,1650,32.0
1620290841.934635,1700,26.0
1620292459.966064,1750,14.0
1620294006.251963,1800,18.0
1620295586.665716,1850,33.0
1620297246.655988,1900,27.0
1620298858.280602,1950,19.0
