Wall time,Step,Value
1620235348.256329,50,2.0
1620236985.257996,100,3.0
1620238570.304981,150,4.0
1620240212.191581,200,5.0
1620241867.881778,250,33.0
1620243585.175137,300,45.0
1620245206.393438,350,27.0
1620246878.107029,400,16.0
1620248547.729165,450,20.0
1620250184.971556,500,43.0
1620251872.983987,550,46.0
1620253595.755312,600,44.0
1620255315.560789,650,45.0
1620256957.305727,700,46.0
1620258535.489357,750,38.0
1620260237.958284,800,47.0
1620261873.778351,850,42.0
1620263554.573804,900,40.0
1620265241.892406,950,46.0
1620267037.752786,1000,43.0
1620268746.448711,1050,49.0
1620270352.33309,1100,37.0
1620272029.234208,1150,50.0
1620273769.705284,1200,44.0
1620275452.088283,1250,31.0
1620277129.681147,1300,46.0
1620278772.730912,1350,46.0
1620280417.540205,1400,42.0
1620282187.527855,1450,41.0
1620283888.793288,1500,44.0
1620285881.785994,1550,40.0
1620287551.458917,1600,44.0
1620289239.378197,1650,43.0
1620290841.937423,1700,46.0
1620292459.969151,1750,23.0
1620294006.254501,1800,42.0
1620295586.66787,1850,49.0
1620297246.658107,1900,36.0
1620298858.286399,1950,44.0
