Wall time,Step,Value
1620235348.263172,50,0.0
1620236985.260536,100,0.0
1620238570.311828,150,-1.0
1620240212.194825,200,0.0
1620241867.883994,250,1.0
1620243585.177231,300,9.0
1620245206.395695,350,-1.0
1620246878.109282,400,-1.0
1620248547.731077,450,-1.0
1620250184.973137,500,-1.0
1620251872.985773,550,0.0
1620253595.757892,600,9.0
1620255315.565126,650,0.0
1620256957.30761,700,-1.0
1620258535.49118,750,0.0
1620260237.959885,800,0.0
1620261873.780286,850,-1.0
1620263554.575395,900,-1.0
1620265241.893747,950,-1.0
1620267037.754258,1000,17.0
1620268746.451332,1050,-1.0
1620270352.334771,1100,-1.0
1620272029.235773,1150,-1.0
1620273769.706864,1200,-1.0
1620275452.090465,1250,0.0
1620277129.682688,1300,-1.0
1620278772.732622,1350,-1.0
1620280417.541853,1400,-1.0
1620282187.52941,1450,-1.0
1620283888.795884,1500,-1.0
1620285881.789233,1550,-1.0
1620287551.461458,1600,-1.0
1620289239.38129,1650,14.0
1620290841.940161,1700,-1.0
1620292459.972184,1750,2.0
1620294006.256725,1800,-1.0
1620295586.669873,1850,11.0
1620297246.660073,1900,10.0
1620298858.290219,1950,-1.0
