Wall time,Step,Value
1620233767.723351,4,16.0
1620233798.121258,5,19.0
1620233938.672254,9,21.0
1620233971.560732,10,21.0
1620234034.160563,12,27.0
1620234064.747809,13,19.0
1620234095.708483,14,16.0
1620234157.355681,16,16.0
1620234188.626842,17,16.0
1620234219.889944,18,15.0
1620234250.490887,19,18.0
1620234374.659553,23,20.0
1620234664.069955,32,8.0
1620234695.016871,33,11.0
1620234757.019522,35,15.0
1620234850.159271,38,18.0
1620234880.859593,39,16.0
1620234942.860668,41,19.0
1620235005.060593,43,18.0
1620235035.915409,44,21.0
1620235100.011511,46,14.0
1620235162.161025,48,13.0
1620235193.178125,49,15.0
1620235412.449191,52,24.0
1620235444.453564,53,21.0
1620235475.471959,54,14.0
1620235506.861862,55,14.0
1620235538.563156,56,16.0
1620235631.924595,59,21.0
1620235663.104919,60,23.0
1620235725.07291,62,21.0
1620235787.099739,64,16.0
1620235818.000167,65,11.0
1620235849.258081,66,15.0
1620235879.913442,67,18.0
1620235972.536459,70,15.0
1620236003.977607,71,15.0
1620236035.139349,72,21.0
1620236065.932779,73,20.0
1620236129.09794,75,14.0
1620236225.576333,78,13.0
1620236378.687439,83,13.0
1620236409.782365,84,10.0
1620236440.479649,85,6.0
1620236471.304074,86,8.0
1620236502.434987,87,11.0
1620236538.21763,88,12.0
1620236692.037713,93,8.0
1620237015.716581,101,11.0
1620237107.364257,104,4.0
1620237137.411203,105,8.0
1620237350.592678,112,12.0
1620237442.701033,115,7.0
1620237504.366425,117,5.0
1620237534.648768,118,7.0
1620237565.897984,119,10.0
1620237695.686053,123,5.0
1620237726.970019,124,7.0
1620237758.083981,125,7.0
1620237852.250021,128,1.0
1620237884.46403,129,4.0
1620237978.009647,132,12.0
1620238100.788941,136,3.0
1620238162.295112,138,8.0
1620238224.23212,140,2.0
1620238254.54754,141,6.0
1620238284.954174,142,6.0
1620238315.851387,143,2.0
1620238439.212945,147,4.0
1620238500.933407,149,15.0
1620238632.260784,152,9.0
1620238663.483819,153,3.0
1620238694.627791,154,5.0
1620238755.860685,156,15.0
1620238786.411963,157,9.0
1620238816.477551,158,11.0
1620238908.708145,161,13.0
1620238970.072908,163,4.0
1620239000.393688,164,4.0
1620239061.423761,166,11.0
1620239091.993991,167,6.0
1620239182.957672,170,9.0
1620239334.214978,175,7.0
1620239364.832907,176,12.0
1620239395.561526,177,4.0
1620239456.447391,179,12.0
1620239486.955314,180,14.0
1620239547.823292,182,15.0
1620239608.060425,184,7.0
1620239638.798849,185,6.0
1620239669.172998,186,4.0
1620239699.345183,187,7.0
1620239759.750887,189,14.0
1620239789.958496,190,15.0
1620240002.202303,197,11.0
1620240241.925886,201,27.0
1620240361.70816,205,15.0
1620240391.620443,206,18.0
1620240421.320601,207,23.0
1620240541.82802,211,16.0
1620240631.608306,214,10.0
1620240721.303321,217,14.0
1620240751.435658,218,5.0
1620240840.783437,221,8.0
1620240870.923858,222,11.0
1620240930.075057,224,8.0
1620240960.927715,225,14.0
1620240990.045068,226,17.0
1620241049.288121,228,12.0
1620241079.184742,229,9.0
1620241138.717604,231,12.0
1620241168.083426,232,12.0
1620241197.795584,233,8.0
1620241286.152813,236,6.0
1620241374.204021,239,14.0
1620241521.087952,244,17.0
1620241579.617582,246,21.0
1620241638.638589,248,13.0
1620241668.547282,249,11.0
1620241986.052931,254,23.0
1620242073.28236,257,14.0
1620242102.702499,258,12.0
1620242132.213328,259,6.0
1620242161.357758,260,8.0
1620242220.556062,262,6.0
1620242338.230694,266,8.0
1620242396.999018,268,6.0
1620242456.20344,270,8.0
1620242515.28542,272,9.0
1620242663.146576,277,13.0
1620242721.735222,279,21.0
1620242841.161645,283,20.0
1620242991.68424,288,13.0
1620243051.451298,290,15.0
1620243081.33418,291,17.0
1620243180.779969,294,18.0
1620243239.758703,296,19.0
1620243269.004856,297,21.0
1620243299.708976,298,26.0
1620243359.510108,300,12.0
1620243614.649147,301,10.0
1620243644.496212,302,14.0
1620243766.195145,306,7.0
1620243795.812668,307,10.0
1620243854.272275,309,16.0
1620243941.800405,312,23.0
1620244057.817348,316,22.0
1620244086.614897,317,27.0
1620244115.754556,318,22.0
1620244145.036779,319,26.0
1620244202.695922,321,21.0
1620244289.092339,324,18.0
1620244317.705487,325,22.0
1620244346.780342,326,26.0
1620244433.911651,329,26.0
1620244463.088115,330,17.0
1620244522.25761,332,22.0
1620244701.88028,338,22.0
1620244761.550877,340,14.0
1620244852.443614,343,19.0
1620244881.859572,344,23.0
1620244942.144066,346,34.0
1620244971.950277,347,34.0
1620245264.016749,352,32.0
1620245293.148258,353,34.0
1620245351.915039,355,34.0
1620245410.400197,357,27.0
1620245439.592217,358,26.0
1620245468.923427,359,24.0
1620245558.834965,362,29.0
1620245588.302718,363,32.0
1620245676.727965,366,21.0
1620245706.510345,367,17.0
1620245765.756693,369,20.0
1620245795.664164,370,24.0
1620245854.824743,372,17.0
1620245971.929458,376,26.0
1620246001.533473,377,21.0
1620246030.97418,378,21.0
1620246089.450548,380,15.0
1620246118.325784,381,19.0
1620246207.572145,384,24.0
1620246237.821246,385,26.0
1620246267.472026,386,29.0
1620246297.091259,387,18.0
1620246356.668994,389,23.0
1620246386.30894,390,16.0
1620246416.89544,391,20.0
1620246446.472249,392,28.0
1620246908.304887,401,21.0
1620246937.111585,402,21.0
1620246995.410676,404,23.0
1620247082.520924,407,32.0
1620247290.141428,414,39.0
1620247320.081426,415,41.0
1620247439.418664,419,19.0
1620247469.148412,420,18.0
1620247499.629303,421,23.0
1620247559.679637,423,17.0
1620247619.357235,425,28.0
1620247739.333033,429,36.0
1620248009.197264,438,27.0
1620248039.203429,439,29.0
1620248069.242789,440,31.0
1620248099.889537,441,33.0
1620248160.481511,443,32.0
1620248190.373635,444,31.0
1620248281.086386,447,32.0
1620248370.582047,450,33.0
1620248753.031392,457,21.0
1620248781.998745,458,27.0
1620248811.159539,459,28.0
1620248840.526723,460,28.0
1620248898.724959,462,34.0
1620248928.00053,463,33.0
1620248958.535039,464,31.0
1620249016.857567,466,10.0
1620249045.883885,467,13.0
1620249074.929644,468,19.0
1620249133.472691,470,23.0
1620249191.805737,472,17.0
1620249220.993589,473,18.0
1620249344.797447,477,13.0
1620249554.508953,484,23.0
1620249641.977784,487,30.0
1620249670.975734,488,29.0
1620249729.123306,490,19.0
1620249787.704485,492,16.0
1620249875.441654,495,28.0
1620250360.122502,506,39.0
1620250448.76633,509,28.0
1620250477.782761,510,18.0
1620250506.896211,511,16.0
1620250607.301371,513,22.0
1620250665.82971,515,23.0
1620250694.438564,516,28.0
1620250752.991109,518,25.0
1620250898.169592,523,21.0
1620250927.743239,524,24.0
1620251106.693818,530,16.0
1620251165.77653,532,19.0
1620251195.677908,533,20.0
1620251226.199514,534,22.0
1620251255.699127,535,25.0
1620251286.153401,536,18.0
1620251316.906291,537,25.0
1620251346.98809,538,28.0
1620251376.828716,539,23.0
1620251406.865328,540,21.0
1620251436.85444,541,28.0
1620251495.999028,543,31.0
1620251586.426096,546,35.0
1620251616.082671,547,31.0
1620251646.172025,548,25.0
1620251707.038265,550,25.0
