Wall time,Step,Value
1618300899.405977,50,1.0
1618302427.768175,100,1.0
1618304032.933368,150,2.0
1618305631.13944,200,3.0
1618307253.169417,250,12.0
1618309006.608265,300,33.0
1618310682.274473,350,29.0
1618312251.879466,400,29.0
1618313885.224589,450,25.0
1618315466.8377,500,23.0
1618317108.979348,550,15.0
1618318673.123621,600,2.0
1618320343.405161,650,12.0
1618321963.018216,700,34.0
1618323524.908917,750,22.0
1618325150.447838,800,35.0
1618326654.47262,850,4.0
1618328238.35511,900,23.0
1618329831.815932,950,14.0
1618331301.426593,1000,1.0
1618332770.373326,1050,12.0
1618334305.281045,1100,23.0
1618335884.224553,1150,27.0
1618337473.697359,1200,30.0
1618339095.732833,1250,34.0
1618340689.243822,1300,30.0
1618342310.531753,1350,23.0
1618343990.288299,1400,36.0
1618345675.394748,1450,26.0
1618347332.753733,1500,26.0
1618348975.390894,1550,20.0
1618350675.915301,1600,29.0
1618352306.043598,1650,15.0
1618353895.92793,1700,1.0
1618355607.21084,1750,24.0
1618357379.873469,1800,29.0
1618358995.943041,1850,2.0
1618360805.588297,1900,28.0
1618362576.882935,1950,21.0
