Wall time,Step,Value
1618300899.409817,50,4.0
1618302427.771918,100,3.0
1618304032.935388,150,4.0
1618305631.144736,200,10.0
1618307253.173409,250,47.0
1618309006.612993,300,42.0
1618310682.277999,350,50.0
1618312251.883148,400,50.0
1618313885.228423,450,50.0
1618315466.840915,500,50.0
1618317108.983131,550,32.0
1618318673.125503,600,6.0
1618320343.408542,650,41.0
1618321963.021318,700,50.0
1618323524.912185,750,50.0
1618325150.451115,800,50.0
1618326654.475919,850,16.0
1618328238.358508,900,50.0
1618329831.81969,950,50.0
1618331301.429845,1000,5.0
1618332770.376665,1050,42.0
1618334305.284126,1100,50.0
1618335884.227648,1150,50.0
1618337473.700307,1200,50.0
1618339095.736114,1250,49.0
1618340689.247168,1300,50.0
1618342310.534927,1350,50.0
1618343990.291372,1400,50.0
1618345675.398144,1450,47.0
1618347332.757029,1500,48.0
1618348975.394288,1550,48.0
1618350675.919435,1600,50.0
1618352306.047507,1650,49.0
1618353895.930992,1700,19.0
1618355607.213819,1750,49.0
1618357379.876416,1800,49.0
1618358995.94751,1850,18.0
1618360805.591425,1900,49.0
1618362576.886059,1950,48.0
