Wall time,Step,Value
1618300899.411978,50,-1.0
1618302427.77415,100,0.0
1618304032.937385,150,0.0
1618305631.148767,200,-1.0
1618307253.177324,250,-1.0
1618309006.619897,300,23.0
1618310682.280507,350,0.0
1618312251.887422,400,-1.0
1618313885.230292,450,-1.0
1618315466.843684,500,-1.0
1618317108.984763,550,1.0
1618318673.127146,600,-1.0
1618320343.410738,650,2.0
1618321963.02301,700,-1.0
1618323524.914202,750,-1.0
1618325150.45293,800,-1.0
1618326654.477725,850,-1.0
1618328238.360843,900,-1.0
1618329831.821712,950,-1.0
1618331301.434198,1000,-1.0
1618332770.378211,1050,-1.0
1618334305.285507,1100,-1.0
1618335884.229219,1150,-1.0
1618337473.701642,1200,-1.0
1618339095.737779,1250,-1.0
1618340689.248748,1300,-1.0
1618342310.536422,1350,-1.0
1618343990.292857,1400,17.0
1618345675.399849,1450,0.0
1618347332.761555,1500,-1.0
1618348975.396145,1550,-1.0
1618350675.921559,1600,-1.0
1618352306.04926,1650,-1.0
1618353895.932533,1700,-1.0
1618355607.215249,1750,-1.0
1618357379.877771,1800,-1.0
1618358995.949906,1850,-1.0
1618360805.592982,1900,-1.0
1618362576.887429,1950,-1.0
