Wall time,Step,Value
1618299434.533824,5,15.0
1618299463.875044,6,18.0
1618299581.782317,10,23.0
1618299611.787514,11,20.0
1618299671.112546,13,25.0
1618299701.103034,14,19.0
1618299730.339716,15,17.0
1618299789.322895,17,14.0
1618299819.124769,18,17.0
1618299849.284239,19,21.0
1618299879.400785,20,20.0
1618299998.476278,24,18.0
1618300265.608208,33,18.0
1618300294.56754,34,22.0
1618300354.128901,36,23.0
1618300442.857595,39,29.0
1618300472.179786,40,29.0
1618300531.29052,42,20.0
1618300590.656125,44,15.0
1618300619.967263,45,17.0
1618300679.109764,47,15.0
1618300738.449865,49,18.0
1618300768.747389,50,21.0
1618300988.56121,53,27.0
1618301018.579835,54,24.0
1618301048.451804,55,22.0
1618301078.398238,56,18.0
1618301108.470519,57,20.0
1618301197.810555,60,6.0
1618301227.601079,61,11.0
1618301287.41438,63,20.0
1618301347.253856,65,25.0
1618301377.503728,66,24.0
1618301407.898416,67,20.0
1618301437.936821,68,19.0
1618301525.730138,71,19.0
1618301555.557323,72,20.0
1618301585.219391,73,15.0
1618301614.41287,74,17.0
1618301673.707108,76,9.0
1618301762.789032,79,12.0
1618301909.437514,84,2.0
1618301939.385436,85,6.0
1618301968.86526,86,3.0
1618301999.222288,87,8.0
1618302029.16082,88,10.0
1618302059.021745,89,13.0
1618302209.380285,94,17.0
1618302485.990973,102,5.0
1618302573.827793,105,8.0
1618302602.600581,106,12.0
1618302808.26482,113,11.0
1618302898.173583,116,15.0
1618302956.498049,118,24.0
1618302986.845984,119,25.0
1618303017.243728,120,24.0
1618303140.588285,124,24.0
1618303171.456803,125,21.0
1618303202.173234,126,17.0
1618303290.439711,129,19.0
1618303320.324286,130,14.0
1618303409.788738,133,12.0
1618303529.205717,137,3.0
1618303588.594367,139,10.0
1618303648.721802,141,18.0
1618303678.22923,142,3.0
1618303707.778134,143,7.0
1618303737.86037,144,11.0
1618303857.865399,148,18.0
1618303918.166565,150,19.0
1618304119.072771,153,16.0
1618304147.880247,154,19.0
1618304176.541603,155,21.0
1618304234.301508,157,20.0
1618304269.247243,158,7.0
1618304297.782372,159,10.0
1618304383.660677,162,11.0
1618304441.272164,164,13.0
1618304469.925059,165,17.0
1618304526.556146,167,20.0
1618304555.155625,168,20.0
1618304643.054469,171,8.0
1618304800.229718,176,24.0
1618304831.144958,177,21.0
1618304861.870242,178,21.0
1618304923.556456,180,27.0
1618304954.647701,181,26.0
1618305016.87391,183,28.0
1618305078.642164,185,18.0
1618305108.739423,186,15.0
1618305138.98123,187,13.0
1618305170.16895,188,13.0
1618305231.320403,190,18.0
1618305261.803843,191,20.0
1618305475.667988,198,11.0
1618305695.201797,202,22.0
1618305820.363152,206,13.0
1618305850.933972,207,15.0
1618305880.967145,208,14.0
1618306001.040101,212,14.0
1618306092.247074,215,15.0
1618306181.967618,218,18.0
1618306212.241485,219,21.0
1618306303.526201,222,20.0
1618306333.654404,223,16.0
1618306393.200374,225,20.0
1618306423.502386,226,23.0
1618306454.03199,227,19.0
1618306513.850525,229,11.0
1618306544.118534,230,13.0
1618306604.651312,232,11.0
1618306634.973298,233,16.0
1618306664.866727,234,18.0
1618306755.375718,237,11.0
1618306845.453016,240,16.0
1618306998.933381,245,24.0
1618307058.665633,247,30.0
1618307118.153199,249,16.0
1618307147.72399,250,15.0
1618307416.45818,255,19.0
1618307507.572058,258,12.0
1618307538.341421,259,4.0
