Wall time,Step,Value
1617837711.269922,50,4.0
1617839136.830335,100,5.0
1617840542.657225,150,0.0
1617841924.000337,200,0.0
1617843310.376645,250,22.0
1617844736.373217,300,37.0
1617846243.256208,350,47.0
1617847646.970541,400,24.0
1617849144.265428,450,33.0
1617850571.798861,500,19.0
1617852047.170556,550,47.0
1617853521.141789,600,27.0
1617855060.861299,650,48.0
1617856550.13008,700,37.0
1617861569.318114,750,36.0
1617863033.709709,800,48.0
1617864565.218712,850,49.0
1617866056.298259,900,46.0
1617867506.919722,950,41.0
1617868943.053914,1000,47.0
1617870329.134254,1050,44.0
1617871798.756652,1100,46.0
1617873312.610237,1150,44.0
1617874850.76648,1200,48.0
1617876300.669627,1250,26.0
1617877779.783868,1300,45.0
1617879230.018388,1350,35.0
1617880826.577301,1400,46.0
1617882408.771504,1450,47.0
1617883960.060835,1500,46.0
1617885448.372018,1550,35.0
1617886934.691706,1600,47.0
1617888430.852767,1650,29.0
1617890002.801719,1700,44.0
1617891515.274478,1750,48.0
1617893030.858573,1800,47.0
1617894635.000316,1850,48.0
1617896197.617574,1900,36.0
1617897879.851228,1950,49.0
