Wall time,Step,Value
1617837711.272992,50,-1.0
1617839136.834057,100,-1.0
1617840542.660631,150,-1.0
1617841924.004637,200,-1.0
1617843310.379639,250,0.0
1617844736.376531,300,-1.0
1617846243.261151,350,-1.0
1617847646.972287,400,0.0
1617849144.267974,450,-1.0
1617850571.800681,500,-1.0
1617852047.174987,550,-1.0
1617853521.1438,600,-1.0
1617855060.863468,650,-1.0
1617856550.131686,700,-1.0
1617861569.320405,750,-1.0
1617863033.711452,800,0.0
1617864565.221282,850,0.0
1617866056.299958,900,0.0
1617867506.921948,950,-1.0
1617868943.055565,1000,-1.0
1617870329.135991,1050,-1.0
1617871798.758228,1100,-1.0
1617873312.612461,1150,-1.0
1617874850.768416,1200,5.0
1617876300.671249,1250,-1.0
1617877779.785363,1300,-1.0
1617879230.020571,1350,-1.0
1617880826.578962,1400,9.0
1617882408.773077,1450,-1.0
1617883960.062596,1500,-1.0
1617885448.373578,1550,-1.0
1617886934.693163,1600,-1.0
1617888430.854291,1650,-1.0
1617890002.80338,1700,-1.0
1617891515.276027,1750,-1.0
1617893030.860929,1800,-1.0
1617894635.001879,1850,-1.0
1617896197.619579,1900,-1.0
1617897879.85374,1950,-1.0
