Wall time,Step,Value
1617836420.739087,5,26.0
1617836448.184544,6,24.0
1617836556.093625,10,20.0
1617836583.126482,11,21.0
1617836637.363091,13,19.0
1617836664.693592,14,16.0
1617836691.761291,15,19.0
1617836746.673546,17,21.0
1617836774.10627,18,17.0
1617836801.716051,19,17.0
1617836828.949479,20,20.0
1617836939.308613,24,27.0
1617837189.15792,33,21.0
1617837216.689188,34,23.0
1617837271.624668,36,18.0
1617837354.81645,39,16.0
1617837382.338901,40,20.0
1617837438.405517,42,5.0
1617837493.298048,44,14.0
1617837520.815554,45,16.0
1617837575.693619,47,16.0
1617837630.729606,49,9.0
1617837658.249327,50,8.0
1617837794.186323,53,12.0
1617837821.565526,54,13.0
1617837849.029852,55,13.0
1617837876.631749,56,7.0
1617837903.899877,57,9.0
1617837986.222011,60,17.0
1617838013.81078,61,17.0
1617838068.926196,63,13.0
1617838124.137037,65,9.0
1617838151.444557,66,14.0
1617838178.850291,67,12.0
1617838206.939175,68,2.0
1617838289.710085,71,14.0
1617838317.236382,72,15.0
1617838344.748482,73,16.0
1617838372.547604,74,19.0
1617838427.919103,76,17.0
1617838510.833959,79,9.0
1617838647.740552,84,11.0
1617838675.554543,85,8.0
1617838703.291961,86,7.0
1617838731.435398,87,11.0
1617838758.616592,88,15.0
1617838786.227895,89,10.0
1617838923.387523,94,9.0
1617839191.288896,102,15.0
1617839274.42048,105,6.0
1617839302.492177,106,3.0
1617839495.766487,113,3.0
1617839578.938407,116,7.0
1617839635.093235,118,3.0
1617839662.602231,119,5.0
1617839690.060741,120,11.0
1617839800.397386,124,21.0
1617839827.951252,125,25.0
1617839855.427761,126,19.0
1617839937.266923,129,14.0
1617839965.137881,130,19.0
1617840047.151165,133,10.0
1617840156.872615,137,4.0
1617840212.31377,139,5.0
1617840266.820975,141,12.0
1617840294.211507,142,15.0
1617840321.765849,143,11.0
1617840348.809415,144,14.0
1617840463.493534,148,19.0
1617840517.773985,150,28.0
1617840624.519184,153,22.0
1617840652.342673,154,1.0
1617840679.396692,155,8.0
1617840733.619734,157,16.0
1617840760.615986,158,23.0
1617840787.764557,159,27.0
1617840869.13242,162,12.0
1617840923.164751,164,21.0
1617840949.821638,165,22.0
1617841003.403147,167,24.0
1617841030.368775,168,19.0
1617841111.219786,171,13.0
1617841245.815637,176,17.0
1617841272.591751,177,24.0
1617841299.628784,178,22.0
1617841353.295037,180,18.0
1617841379.954205,181,21.0
1617841433.772921,183,24.0
1617841487.543457,185,18.0
1617841514.271684,186,19.0
1617841541.263542,187,18.0
1617841567.97816,188,21.0
1617841621.260485,190,25.0
1617841649.313671,191,1.0
1617841837.359281,198,12.0
1617841978.126291,202,7.0
1617842085.828355,206,19.0
1617842112.552231,207,19.0
1617842139.25341,208,23.0
1617842245.992556,212,21.0
1617842326.074477,215,30.0
1617842406.445084,218,23.0
1617842433.084692,219,21.0
1617842513.399319,222,24.0
1617842540.258434,223,24.0
1617842593.925849,225,21.0
1617842620.386096,226,24.0
1617842647.096772,227,23.0
1617842700.541454,229,29.0
1617842727.247566,230,33.0
1617842780.413843,232,28.0
1617842806.832441,233,23.0
1617842833.734651,234,17.0
1617842914.006038,237,17.0
1617842994.200986,240,15.0
1617843127.991612,245,8.0
1617843181.32347,247,8.0
1617843235.365729,249,15.0
1617843262.06549,250,13.0
1617843443.95814,255,23.0
1617843524.047688,258,24.0
1617843550.780636,259,25.0
1617843577.821191,260,16.0
1617843604.776747,261,18.0
1617843658.195547,263,17.0
1617843765.475342,267,22.0
1617843819.216959,269,22.0
1617843872.441819,271,25.0
1617843926.238543,273,22.0
1617844059.898337,278,31.0
1617844113.210004,280,33.0
1617844220.328899,284,28.0
1617844354.408558,289,23.0
1617844409.022211,291,6.0
1617844435.773213,292,7.0
1617844516.528369,295,12.0
1617844570.313282,297,13.0
1617844596.785837,298,14.0
1617844623.603295,299,18.0
1617844762.964162,301,20.0
1617844789.498563,302,24.0
1617844816.437312,303,19.0
1617844924.133229,307,10.0
1617844951.163529,308,13.0
1617845004.954567,310,17.0
1617845085.209059,313,17.0
1617845193.040214,317,21.0
1617845219.892531,318,17.0
1617845247.0587,319,16.0
1617845274.120408,320,14.0
1617845327.783629,322,17.0
1617845409.096113,325,17.0
1617845436.028551,326,20.0
1617845463.146893,327,22.0
1617845543.637208,330,26.0
1617845570.462666,331,31.0
1617845624.424168,333,26.0
1617845786.05918,339,30.0
1617845839.644565,341,29.0
1617845920.981099,344,16.0
1617845947.758534,345,21.0
1617846001.842342,347,21.0
1617846028.523384,348,22.0
1617846324.517152,353,16.0
1617846351.781874,354,21.0
1617846405.927159,356,20.0
1617846460.064004,358,17.0
1617846487.088317,359,16.0
1617846514.555658,360,21.0
1617846595.606477,363,26.0
1617846622.473462,364,29.0
1617846703.818672,367,25.0
1617846730.879579,368,24.0
1617846785.390173,370,21.0
