Wall time,Step,Value
1617925408.269747,50,2.0
1617927004.818908,100,0.0
1617928588.552912,150,3.0
1617930134.333274,200,0.0
1617931743.41632,250,19.0
1617933284.522716,300,4.0
1617934893.301217,350,7.0
1617936567.623959,400,13.0
1617953010.007074,450,19.0
1617954738.596552,500,37.0
1617956415.664922,550,21.0
1617958001.612805,600,21.0
1617959648.944156,650,27.0
1617961363.538395,700,34.0
1617963068.867303,750,30.0
1617964797.195068,800,9.0
1617966662.283454,850,14.0
1617968587.594703,900,33.0
1617971067.748819,950,27.0
1617972802.739543,1000,32.0
1617974591.833147,1050,34.0
1617976341.369001,1100,37.0
1617977920.001635,1150,19.0
1617979489.502042,1200,10.0
1617981059.602009,1250,12.0
1617982529.922025,1300,19.0
1617984085.843647,1350,30.0
1617985565.28894,1400,13.0
1617987068.893872,1450,22.0
1617988505.488814,1500,9.0
1617990054.324954,1550,30.0
1617991625.823933,1600,34.0
1617993177.014586,1650,27.0
1617994690.093506,1700,19.0
1617996247.135271,1750,28.0
1617997819.050339,1800,30.0
1617999398.076345,1850,15.0
1618000947.685947,1900,15.0
1618002497.880367,1950,18.0
