Wall time,Step,Value
1617925408.273956,50,6.0
1617927004.82407,100,1.0
1617928588.557187,150,11.0
1617930134.33786,200,3.0
1617931743.420784,250,45.0
1617933284.525864,300,11.0
1617934893.306324,350,40.0
1617936567.626592,400,47.0
1617953010.01355,450,42.0
1617954738.602472,500,48.0
1617956415.670313,550,44.0
1617958001.618158,600,50.0
1617959648.949552,650,50.0
1617961363.542445,700,50.0
1617963068.872855,750,50.0
1617964797.19965,800,26.0
1617966662.287562,850,38.0
1617968587.599318,900,45.0
1617971067.754168,950,47.0
1617972802.74451,1000,49.0
1617974591.838998,1050,50.0
1617976341.3731,1100,50.0
1617977920.007447,1150,46.0
1617979489.50579,1200,44.0
1617981059.605284,1250,34.0
1617982529.924279,1300,50.0
1617984085.847054,1350,50.0
1617985565.29213,1400,48.0
1617987068.895682,1450,49.0
1617988505.492246,1500,17.0
1617990054.328331,1550,49.0
1617991625.827251,1600,50.0
1617993177.0178,1650,48.0
1617994690.09679,1700,49.0
1617996247.138652,1750,49.0
1617997819.05202,1800,50.0
1617999398.079305,1850,35.0
1618000947.689485,1900,46.0
1618002497.882271,1950,49.0
