Wall time,Step,Value
1617925408.278253,50,-1.0
1617927004.830419,100,0.0
1617928588.560763,150,1.0
1617930134.340915,200,-1.0
1617931743.423801,250,2.0
1617933284.529482,300,-1.0
1617934893.309913,350,0.0
1617936567.629889,400,1.0
1617953010.017453,450,-1.0
1617954738.609704,500,-1.0
1617956415.673408,550,0.0
1617958001.62149,600,-1.0
1617959648.952386,650,-1.0
1617961363.544819,700,-1.0
1617963068.876463,750,-1.0
1617964797.204982,800,-1.0
1617966662.290513,850,-1.0
1617968587.601966,900,15.0
1617971067.757723,950,1.0
1617972802.747904,1000,-1.0
1617974591.843537,1050,-1.0
1617976341.376632,1100,-1.0
1617977920.010387,1150,-1.0
1617979489.50863,1200,-1.0
1617981059.607148,1250,0.0
1617982529.925997,1300,-1.0
1617984085.848891,1350,0.0
1617985565.293729,1400,0.0
1617987068.897302,1450,0.0
1617988505.494086,1500,-1.0
1617990054.329987,1550,-1.0
1617991625.828812,1600,0.0
1617993177.019323,1650,-1.0
1617994690.098589,1700,0.0
1617996247.140344,1750,1.0
1617997819.053568,1800,1.0
1617999398.08096,1850,-1.0
1618000947.691324,1900,-1.0
1618002497.884083,1950,-1.0
