Wall time,Step,Value
1617923896.613254,5,20.0
1617923926.780652,6,16.0
1617924049.51155,10,25.0
1617924080.375761,11,23.0
1617924142.810304,13,22.0
1617924173.782459,14,22.0
1617924204.512715,15,25.0
1617924267.762469,17,16.0
1617924299.736945,18,19.0
1617924331.286383,19,14.0
1617924362.472568,20,16.0
1617924487.277547,24,28.0
1617924766.928395,33,21.0
1617924798.802277,34,15.0
1617924862.281977,36,13.0
1617924956.540839,39,16.0
1617924987.722952,40,21.0
1617925049.839997,42,18.0
1617925111.929035,44,20.0
1617925143.496069,45,22.0
1617925206.005877,47,20.0
1617925268.29432,49,19.0
1617925299.512384,50,14.0
1617925501.926202,53,15.0
1617925533.109441,54,20.0
1617925564.475202,55,20.0
1617925595.678513,56,21.0
1617925627.181058,57,18.0
1617925720.62142,60,18.0
1617925752.185631,61,20.0
1617925822.630567,63,21.0
1617925886.032045,65,21.0
1617925917.174975,66,7.0
1617925948.23178,67,7.0
1617925979.91737,68,10.0
1617926073.32491,71,11.0
1617926104.233785,72,12.0
1617926135.361805,73,13.0
1617926166.094698,74,17.0
1617926228.134035,76,13.0
1617926320.659933,79,10.0
1617926475.223141,84,4.0
1617926506.101238,85,6.0
1617926536.589802,86,7.0
1617926567.327006,87,6.0
1617926597.984368,88,2.0
1617926628.324101,89,5.0
1617926782.373263,94,3.0
1617927066.278099,102,5.0
1617927158.921313,105,10.0
1617927189.333621,106,9.0
1617927402.564302,113,15.0
1617927493.702523,116,13.0
1617927555.183337,118,18.0
1617927586.110263,119,18.0
1617927616.261174,120,17.0
1617927737.831045,124,13.0
1617927767.975338,125,12.0
1617927798.456493,126,9.0
1617927889.483271,129,7.0
1617927919.986,130,12.0
1617928011.158669,133,22.0
1617928140.27721,137,1.0
1617928201.154963,139,10.0
1617928261.758707,141,12.0
1617928292.465348,142,10.0
1617928322.83742,143,14.0
1617928353.36341,144,13.0
1617928475.661441,148,14.0
1617928535.461439,150,8.0
1617928677.917577,153,12.0
1617928707.954219,154,12.0
1617928738.26652,155,15.0
1617928799.32525,157,19.0
