Wall time,Step,Value
1618045913.673854,50,0.0
1618047464.343705,100,2.0
1618049007.02228,150,2.0
1618050503.865077,200,0.0
1618052064.371174,250,14.0
1618053582.696702,300,4.0
1618055297.258872,350,21.0
1618056917.443147,400,20.0
1618058548.893542,450,17.0
1618060202.342926,500,20.0
1618061746.481854,550,12.0
1618063300.320893,600,16.0
1618064878.902067,650,26.0
1618066525.098711,700,17.0
1618068135.298166,750,8.0
1618069830.924513,800,22.0
1618071566.095233,850,33.0
1618073223.396792,900,19.0
1618074933.230323,950,27.0
1618076678.114954,1000,33.0
1618078397.236803,1050,26.0
1618080087.335924,1100,18.0
1618081834.132671,1150,26.0
1618083627.659127,1200,32.0
1618085427.175688,1250,30.0
1618087186.840124,1300,22.0
1618088922.777834,1350,17.0
1618090732.765305,1400,28.0
1618092571.385427,1450,20.0
1618094374.859729,1500,24.0
1618096188.099748,1550,24.0
1618098027.047663,1600,22.0
1618099898.999015,1650,24.0
1618101786.173569,1700,26.0
1618103615.481019,1750,15.0
1618105464.971639,1800,15.0
1618107256.992768,1850,5.0
1618109192.147754,1900,23.0
1618111151.84922,1950,23.0
