Wall time,Step,Value
1618045913.677805,50,2.0
1618047464.347714,100,5.0
1618049007.02743,150,4.0
1618050503.869925,200,2.0
1618052064.375372,250,44.0
1618053582.700296,300,13.0
1618055297.263106,350,32.0
1618056917.447436,400,32.0
1618058548.90034,450,50.0
1618060202.347298,500,49.0
1618061746.485219,550,40.0
1618063300.329075,600,48.0
1618064878.905801,650,50.0
1618066525.102253,700,48.0
1618068135.300061,750,25.0
1618069830.928241,800,38.0
1618071566.097521,850,50.0
1618073223.398986,900,44.0
1618074933.233651,950,50.0
1618076678.118257,1000,50.0
1618078397.240378,1050,50.0
1618080087.338975,1100,49.0
1618081834.136403,1150,50.0
1618083627.662361,1200,47.0
1618085427.179313,1250,49.0
1618087186.843393,1300,48.0
1618088922.781369,1350,49.0
1618090732.768494,1400,49.0
1618092571.388517,1450,40.0
1618094374.862769,1500,49.0
1618096188.103019,1550,47.0
1618098027.050866,1600,43.0
1618099899.005378,1650,49.0
1618101786.176863,1700,45.0
1618103615.482898,1750,50.0
1618105464.974945,1800,44.0
1618107256.994868,1850,36.0
1618109192.150897,1900,47.0
1618111151.851049,1950,45.0
