Wall time,Step,Value
1618045913.680126,50,-1.0
1618047464.350283,100,0.0
1618049007.029935,150,-1.0
1618050503.873116,200,0.0
1618052064.3779,250,0.0
1618053582.703071,300,0.0
1618055297.265911,350,6.0
1618056917.451111,400,-1.0
1618058548.907204,450,-1.0
1618060202.34963,500,-1.0
1618061746.486978,550,-1.0
1618063300.334614,600,-1.0
1618064878.910871,650,0.0
1618066525.104143,700,-1.0
1618068135.302172,750,-1.0
1618069830.929988,800,-1.0
1618071566.099294,850,-1.0
1618073223.400837,900,-1.0
1618074933.235496,950,-1.0
1618076678.119984,1000,-1.0
1618078397.242309,1050,-1.0
1618080087.340527,1100,-1.0
1618081834.138264,1150,-1.0
1618083627.66423,1200,-1.0
1618085427.181193,1250,-1.0
1618087186.844999,1300,-1.0
1618088922.783022,1350,-1.0
1618090732.770099,1400,0.0
1618092571.390079,1450,5.0
1618094374.864339,1500,-1.0
1618096188.104774,1550,-1.0
1618098027.052495,1600,-1.0
1618099899.007485,1650,2.0
1618101786.178561,1700,-1.0
1618103615.48446,1750,-1.0
1618105464.976552,1800,-1.0
1618107256.996486,1850,-1.0
1618109192.152453,1900,-1.0
1618111151.852572,1950,-1.0
