Wall time,Step,Value
1618044458.25357,5,26.0
1618044488.714463,6,26.0
1618044609.873832,10,19.0
1618044640.399687,11,20.0
1618044701.333683,13,26.0
1618044731.918834,14,24.0
1618044763.689415,15,26.0
1618044825.430336,17,20.0
1618044856.18708,18,23.0
1618044887.492722,19,19.0
1618044918.547752,20,21.0
1618045042.926185,24,22.0
1618045320.7156,33,13.0
1618045350.798627,34,15.0
1618045410.467015,36,15.0
1618045500.282329,39,11.0
1618045529.866755,40,17.0
1618045589.182675,42,25.0
1618045648.538249,44,12.0
1618045678.283659,45,14.0
1618045738.486417,47,16.0
1618045798.242405,49,9.0
1618045827.71009,50,13.0
1618046002.261677,53,23.0
1618046031.972011,54,21.0
1618046061.88372,55,19.0
1618046091.591385,56,22.0
1618046121.305,57,15.0
1618046209.940471,60,21.0
1618046239.692651,61,18.0
1618046298.981883,63,28.0
1618046358.375217,65,25.0
1618046387.607441,66,28.0
1618046417.604637,67,26.0
1618046447.537395,68,19.0
1618046536.190847,71,15.0
1618046566.105277,72,15.0
1618046595.94309,73,14.0
1618046625.758673,74,8.0
1618046685.073487,76,12.0
1618046774.20651,79,19.0
1618046920.232139,84,18.0
1618046950.508983,85,18.0
1618046980.052523,86,15.0
1618047009.222044,87,20.0
1618047038.793061,88,23.0
1618047069.041092,89,19.0
1618047219.072714,94,16.0
1618047523.048323,102,8.0
1618047611.088283,105,6.0
1618047640.681383,106,5.0
1618047849.303793,113,11.0
1618047938.814911,116,13.0
1618047997.285132,118,9.0
1618048027.199954,119,10.0
1618048056.855989,120,13.0
1618048179.880032,124,7.0
1618048210.574206,125,9.0
1618048241.009077,126,13.0
1618048329.265946,129,10.0
1618048359.029198,130,5.0
1618048449.143424,133,18.0
1618048569.664009,137,8.0
1618048629.359908,139,13.0
1618048688.704977,141,20.0
1618048718.28209,142,19.0
1618048748.183009,143,17.0
1618048777.183313,144,14.0
1618048893.966608,148,3.0
1618048952.229373,150,7.0
1618049094.198304,153,8.0
1618049123.520169,154,5.0
1618049152.301809,155,6.0
1618049210.266383,157,14.0
1618049239.465938,158,6.0
1618049268.522179,159,10.0
1618049355.834019,162,5.0
1618049413.983521,164,6.0
1618049443.590623,165,9.0
1618049502.97187,167,4.0
1618049532.754627,168,9.0
1618049622.963394,171,17.0
1618049771.945435,176,17.0
1618049802.160226,177,12.0
1618049831.548538,178,14.0
1618049890.373386,180,16.0
1618049920.036309,181,22.0
1618049979.155442,183,19.0
1618050037.85326,185,20.0
1618050066.949425,186,21.0
1618050095.926391,187,21.0
1618050124.902249,188,26.0
1618050182.836505,190,27.0
1618050211.810628,191,23.0
1618050413.678948,198,9.0
1618050561.831837,202,10.0
1618050677.745748,206,16.0
1618050706.768302,207,10.0
1618050736.569153,208,10.0
1618050855.148806,212,6.0
1618050943.507926,215,17.0
1618051031.106198,218,8.0
1618051059.682752,219,12.0
1618051145.190136,222,21.0
1618051173.429346,223,21.0
1618051230.912746,225,17.0
1618051259.740855,226,16.0
1618051288.431017,227,16.0
1618051345.244099,229,21.0
1618051374.029953,230,23.0
1618051431.51098,232,26.0
1618051459.880492,233,31.0
1618051488.133195,234,33.0
1618051575.622336,237,34.0
1618051664.440408,240,30.0
1618051808.613044,245,19.0
1618051865.378017,247,21.0
1618051922.260192,249,25.0
1618051950.907322,250,26.0
1618052208.361492,255,23.0
1618052298.206396,258,22.0
1618052328.07534,259,19.0
1618052357.626517,260,17.0
1618052386.646596,261,21.0
1618052445.003253,263,22.0
1618052561.300892,267,15.0
1618052620.920417,269,17.0
1618052681.112283,271,24.0
1618052739.753813,273,23.0
1618052895.162918,278,20.0
1618052955.290196,280,25.0
1618053075.467024,284,16.0
1618053217.133577,289,27.0
1618053274.344016,291,13.0
1618053302.300576,292,14.0
1618053387.420641,295,23.0
1618053443.62166,297,26.0
1618053471.286505,298,24.0
1618053499.883127,299,19.0
1618053610.63917,301,15.0
1618053641.985142,302,18.0
1618053670.390435,303,21.0
1618053803.034126,307,10.0
1618053832.042547,308,16.0
1618053891.63092,310,22.0
1618053981.545926,313,33.0
1618054103.617326,317,31.0
1618054133.302905,318,24.0
1618054162.427021,319,26.0
1618054192.224349,320,27.0
1618054252.146551,322,18.0
1618054342.165413,325,19.0
1618054372.486624,326,24.0
1618054402.786504,327,12.0
1618054492.726909,330,13.0
1618054523.995106,331,14.0
1618054583.052662,333,18.0
1618054761.945718,339,21.0
1618054821.046173,341,20.0
1618054909.482951,344,24.0
1618054938.922478,345,27.0
1618054997.58656,347,17.0
1618055026.428372,348,14.0
1618055386.354487,353,21.0
1618055415.988689,354,23.0
1618055474.598365,356,8.0
1618055534.633772,358,11.0
1618055564.660514,359,15.0
1618055594.370995,360,16.0
1618055683.10346,363,15.0
1618055713.07497,364,19.0
1618055801.438811,367,24.0
1618055830.746629,368,28.0
1618055889.896945,370,23.0
1618055918.910628,371,26.0
1618055977.348682,373,25.0
1618056095.427212,377,34.0
1618056124.786286,378,30.0
1618056154.625335,379,35.0
1618056213.39072,381,23.0
1618056243.481961,382,27.0
1618056332.708161,385,25.0
1618056361.483355,386,23.0
1618056391.024066,387,30.0
1618056420.534974,388,30.0
1618056480.265665,390,25.0
1618056510.260571,391,29.0
1618056539.771432,392,26.0
1618056570.283096,393,15.0
1618056980.692595,402,32.0
1618057010.719286,403,31.0
1618057070.047499,405,31.0
1618057159.474662,408,35.0
1618057367.004835,415,29.0
1618057396.727793,416,26.0
1618057514.42807,420,30.0
1618057544.523232,421,25.0
1618057574.197745,422,30.0
1618057632.534233,424,30.0
1618057691.731291,426,30.0
1618057810.645128,430,27.0
1618058080.456786,439,19.0
1618058110.579644,440,24.0
1618058140.362598,441,26.0
1618058170.956915,442,1.0
1618058230.742325,444,11.0
1618058260.181549,445,5.0
1618058349.381844,448,16.0
1618058579.458926,451,22.0
1618058828.27028,458,23.0
1618058858.083651,459,28.0
1618058887.817924,460,29.0
1618058917.826751,461,25.0
1618058977.872088,463,27.0
1618059007.3107,464,25.0
1618059037.108338,465,26.0
1618059095.912637,467,28.0
1618059125.868946,468,33.0
1618059156.015122,469,22.0
1618059215.051763,471,28.0
1618059274.322521,473,29.0
1618059304.982333,474,28.0
1618059425.012752,478,37.0
1618059635.674644,485,15.0
1618059725.586705,488,23.0
1618059755.605592,489,27.0
1618059814.63147,491,29.0
1618059875.4797,493,30.0
1618059966.124749,496,24.0
1618060416.231062,507,27.0
1618060507.82828,510,20.0
1618060537.617794,511,19.0
1618060567.060881,512,24.0
1618060627.365934,514,24.0
1618060686.272358,516,18.0
1618060716.352783,517,20.0
1618060777.070404,519,20.0
1618060927.588866,524,8.0
1618060957.338097,525,12.0
1618061137.504232,531,33.0
1618061197.557916,533,30.0
1618061227.604624,534,23.0
1618061257.827523,535,13.0
1618061286.344718,536,11.0
1618061314.534476,537,12.0
1618061342.584696,538,15.0
1618061371.197335,539,13.0
1618061399.459983,540,18.0
1618061427.689455,541,19.0
1618061455.689215,542,22.0
1618061511.804053,544,18.0
1618061596.104923,547,19.0
1618061624.399442,548,21.0
1618061652.654479,549,20.0
1618061774.518042,551,28.0
1618061886.781242,555,19.0
1618061943.435264,557,8.0
1618062000.618526,559,17.0
1618062112.7774,563,21.0
1618062140.790686,564,22.0
1618062169.018986,565,27.0
1618062225.173271,567,35.0
1618062281.691211,569,26.0
1618062337.217188,571,28.0
1618062394.542425,573,24.0
1618062424.199111,574,28.0
1618062547.772335,577,10.0
1618062605.030625,579,15.0
1618062634.101435,580,17.0
1618062663.12821,581,13.0
1618062691.994145,582,5.0
1618062720.875165,583,10.0
1618062749.086712,584,13.0
1618062806.306068,586,8.0
1618062834.75798,587,12.0
1618062975.679774,592,9.0
1618063003.745417,593,14.0
1618063059.832001,595,16.0
1618063088.205248,596,21.0
1618063116.708699,597,27.0
1618063203.473332,600,20.0
1618063357.166415,602,24.0
1618063414.46451,604,29.0
1618063470.921035,606,33.0
1618063527.060203,608,31.0
1618063582.745599,610,25.0
1618063610.922803,611,25.0
1618063639.094943,612,16.0
1618063723.694343,615,20.0
1618063836.405571,619,31.0
1618063865.318637,620,31.0
1618063923.317035,622,31.0
1618063951.17623,623,31.0
1618064007.235612,625,31.0
1618064120.017566,629,32.0
1618064261.608194,634,10.0
1618064461.307707,641,16.0
1618064489.596251,642,19.0
1618064546.742815,644,24.0
1618064574.835221,645,27.0
1618064603.110767,646,28.0
1618064631.777274,647,30.0
1618064659.950638,648,30.0
1618064687.908863,649,31.0
1618064910.743036,651,22.0
1618064942.80518,652,23.0
1618065069.078921,656,18.0
1618065099.969597,657,22.0
1618065162.278789,659,22.0
1618065225.593821,661,19.0
1618065320.002571,664,26.0
1618065381.145683,666,26.0
1618065411.286263,667,22.0
1618065442.171143,668,22.0
1618065534.155551,671,22.0
1618065565.312007,672,19.0
1618065595.873629,673,23.0
1618065626.566129,674,23.0
1618065656.830106,675,28.0
1618065718.316989,677,28.0
1618065748.819917,678,28.0
1618065780.21769,679,33.0
1618065841.374271,681,35.0
1618065871.719619,682,35.0
1618065901.902099,683,34.0
1618065933.184574,684,29.0
1618065964.387634,685,33.0
1618065994.884623,686,36.0
1618066056.300612,688,30.0
1618066086.782279,689,28.0
1618066178.445255,692,11.0
1618066300.3871,696,19.0
1618066392.912539,699,19.0
1618066423.920312,700,18.0
1618066555.991758,701,19.0
1618066618.501728,703,24.0
1618066649.657572,704,28.0
1618066680.033702,705,32.0
1618066710.987419,706,29.0
1618066771.850969,708,28.0
1618066802.012454,709,25.0
1618066832.224182,710,23.0
1618066955.285772,714,7.0
1618067078.038268,718,24.0
1618067108.975816,719,27.0
1618067169.799467,721,32.0
1618067199.960777,722,37.0
1618067230.710898,723,36.0
1618067261.488103,724,37.0
1618067291.920471,725,33.0
1618067322.320286,726,29.0
1618067414.067921,729,20.0
1618067444.363185,730,24.0
1618067631.254717,736,15.0
1618067692.143469,738,24.0
1618067722.490236,739,26.0
1618067753.480077,740,23.0
1618067783.879153,741,26.0
1618067845.550451,743,21.0
1618067938.981379,746,31.0
1618067969.749113,747,34.0
1618068061.438607,750,25.0
1618068165.480698,751,21.0
1618068196.184899,752,22.0
1618068258.491549,754,6.0
1618068321.885865,756,14.0
1618068413.584739,759,23.0
1618068443.90811,760,20.0
1618068505.204072,762,20.0
1618068597.373304,765,23.0
1618068627.966089,766,23.0
1618068658.67774,767,25.0
1618068719.971428,769,28.0
1618068751.003081,770,31.0
1618068782.070658,771,31.0
1618068843.428617,773,33.0
1618068874.025378,774,32.0
1618068907.191931,775,33.0
1618069059.652448,780,28.0
1618069181.925697,784,26.0
1618069212.759276,785,27.0
1618069273.79592,787,25.0
1618069334.775533,789,26.0
1618069395.729268,791,21.0
1618069426.136415,792,24.0
1618069456.659079,793,25.0
1618069486.727687,794,20.0
1618069517.641818,795,22.0
1618069548.586356,796,19.0
1618069609.293776,798,22.0
1618069670.26838,800,19.0
1618069892.974323,802,13.0
1618069985.204882,805,20.0
1618070046.20826,807,23.0
1618070076.858139,808,25.0
1618070107.53633,809,26.0
1618070229.98261,813,21.0
1618070291.477715,815,23.0
