Wall time,Step,Value
1619804425.22592,50,2.0
1619806222.005157,100,2.0
1619808041.646654,150,10.0
1619809771.645872,200,8.0
1619811461.515459,250,7.0
1619813127.828734,300,4.0
1619814746.35883,350,0.0
1619816444.685922,400,10.0
1619818100.832007,450,4.0
1619819859.535334,500,13.0
1619821588.848655,550,13.0
1619823336.222124,600,11.0
1619828669.956794,650,10.0
1619830424.174148,700,11.0
1619832216.577036,750,13.0
1619834010.804088,800,11.0
1619835823.98365,850,6.0
1619837694.739425,900,13.0
1619839602.56314,950,17.0
1619862655.551803,1000,15.0
1619864455.757957,1050,5.0
1619866250.262953,1100,17.0
1619868039.442869,1150,14.0
1619869805.96382,1200,11.0
1619871506.831372,1250,5.0
1619873224.060453,1300,11.0
1619874879.929018,1350,10.0
1619876595.22744,1400,18.0
1619878362.336897,1450,20.0
1619880104.083964,1500,14.0
1619881829.827906,1550,7.0
1619883488.854056,1600,2.0
1619885219.725544,1650,8.0
1619886926.474979,1700,5.0
1619888657.740353,1750,6.0
1619890468.885934,1800,14.0
1619892309.121336,1850,17.0
1619894122.61933,1900,8.0
1619896641.477126,1950,11.0
