Wall time,Step,Value
1619804425.230715,50,5.0
1619806222.008295,100,5.0
1619808041.651517,150,27.0
1619809771.649202,200,35.0
1619811461.520239,250,32.0
1619813127.833485,300,10.0
1619814746.364223,350,6.0
1619816444.688982,400,27.0
1619818100.835703,450,27.0
1619819859.539666,500,31.0
1619821588.853286,550,42.0
1619823336.226047,600,26.0
1619828669.959469,650,29.0
1619830424.177182,700,41.0
1619832216.579568,750,36.0
1619834010.808492,800,42.0
1619835823.987696,850,27.0
1619837694.743627,900,42.0
1619839602.566959,950,42.0
1619862655.557044,1000,37.0
1619864455.760897,1050,27.0
1619866250.266464,1100,45.0
1619868039.446197,1150,34.0
1619869805.96627,1200,30.0
1619871506.83393,1250,11.0
1619873224.064428,1300,28.0
1619874879.93271,1350,43.0
1619876595.231859,1400,39.0
1619878362.341695,1450,44.0
1619880104.085671,1500,40.0
1619881829.832371,1550,26.0
1619883488.856275,1600,24.0
1619885219.7282,1650,39.0
1619886926.47907,1700,45.0
1619888657.742994,1750,27.0
1619890468.8881,1800,44.0
1619892309.125177,1850,41.0
1619894122.621455,1900,40.0
1619896641.482214,1950,39.0
