Wall time,Step,Value
1619804425.233538,50,-1.0
1619806222.01132,100,0.0
1619808041.655053,150,-1.0
1619809771.651544,200,-1.0
1619811461.523473,250,-1.0
1619813127.836636,300,-1.0
1619814746.366677,350,-1.0
1619816444.691641,400,-1.0
1619818100.837517,450,0.0
1619819859.542164,500,-1.0
1619821588.85561,550,-1.0
1619823336.228859,600,-1.0
1619828669.96211,650,0.0
1619830424.179526,700,-1.0
1619832216.581542,750,-1.0
1619834010.811053,800,0.0
1619835823.989827,850,-1.0
1619837694.745755,900,0.0
1619839602.568319,950,0.0
1619862655.560588,1000,-1.0
1619864455.76406,1050,-1.0
1619866250.269423,1100,-1.0
1619868039.449513,1150,-1.0
1619869805.968586,1200,0.0
1619871506.836415,1250,0.0
1619873224.06666,1300,-1.0
1619874879.935562,1350,-1.0
1619876595.234173,1400,-1.0
1619878362.344468,1450,3.0
1619880104.087899,1500,-1.0
1619881829.834635,1550,-1.0
1619883488.858159,1600,-1.0
1619885219.731124,1650,-1.0
1619886926.481546,1700,0.0
1619888657.745256,1750,0.0
1619890468.890871,1800,-1.0
1619892309.127362,1850,-1.0
1619894122.623805,1900,-1.0
1619896641.489811,1950,-1.0
