Wall time,Step,Value
1619802732.119049,5,11.0
1619802773.870757,6,12.0
1619802914.523838,10,12.0
1619802949.936393,11,12.0
1619803018.979138,13,10.0
1619803055.073796,14,12.0
1619803090.450391,15,13.0
1619803159.445536,17,16.0
1619803195.308351,18,17.0
1619803230.306779,19,16.0
1619803266.926697,20,9.0
1619803408.26229,24,22.0
1619803730.685976,33,15.0
1619803767.195031,34,20.0
1619803836.514959,36,21.0
1619803940.64811,39,14.0
1619803975.202724,40,18.0
1619804044.425752,42,15.0
1619804114.133985,44,20.0
1619804149.727116,45,20.0
1619804218.727813,47,24.0
1619804289.175911,49,26.0
1619804323.625018,50,20.0
1619804528.39592,53,15.0
1619804564.436765,54,7.0
1619804598.565491,55,10.0
1619804634.734266,56,11.0
1619804669.344713,57,15.0
1619804775.139963,60,15.0
1619804810.354716,61,11.0
1619804877.703739,63,12.0
1619804948.182469,65,7.0
1619804984.171862,66,4.0
1619805017.770528,67,6.0
1619805052.083894,68,11.0
1619805156.988772,71,6.0
1619805192.553703,72,11.0
1619805227.839563,73,14.0
1619805262.757113,74,14.0
1619805329.857135,76,16.0
1619805432.441436,79,9.0
1619805600.872564,84,10.0
1619805634.999147,85,12.0
1619805670.17356,86,15.0
1619805704.398819,87,19.0
1619805737.929501,88,22.0
1619805772.385847,89,20.0
1619805941.99853,94,7.0
1619806288.973455,102,10.0
1619806388.027562,105,11.0
1619806422.560853,106,11.0
1619806656.559638,113,13.0
1619806758.145788,116,6.0
1619806825.136486,118,11.0
1619806859.113609,119,15.0
1619806893.039034,120,8.0
1619807028.195719,124,11.0
1619807061.121281,125,13.0
1619807094.74512,126,17.0
1619807196.063414,129,20.0
1619807230.24076,130,20.0
1619807330.17737,133,21.0
1619807461.456615,137,25.0
1619807527.410278,139,7.0
1619807596.513427,141,13.0
1619807630.276959,142,16.0
1619807664.520581,143,14.0
1619807696.559293,144,6.0
1619807842.31127,148,4.0
1619807908.273691,150,11.0
1619808140.015299,153,15.0
1619808173.781809,154,7.0
1619808206.216472,155,7.0
1619808272.780323,157,7.0
1619808306.00064,158,8.0
1619808339.747482,159,8.0
1619808438.092639,162,17.0
1619808505.798335,164,2.0
1619808537.864205,165,5.0
1619808603.981895,167,13.0
1619808635.947186,168,18.0
1619808736.598963,171,12.0
1619808899.921782,176,14.0
1619808933.370585,177,17.0
1619808964.93344,178,17.0
1619809031.232447,180,21.0
1619809062.813703,181,22.0
1619809129.344568,183,19.0
1619809196.012106,185,12.0
1619809227.570159,186,8.0
1619809260.53799,187,10.0
1619809293.044506,188,8.0
1619809358.535897,190,14.0
1619809391.74643,191,10.0
1619809634.424748,198,13.0
1619809834.167617,202,12.0
1619809964.17082,206,13.0
1619809995.30423,207,17.0
1619810028.069483,208,16.0
1619810158.55857,212,14.0
1619810256.109678,215,9.0
1619810353.986488,218,14.0
1619810386.772302,219,15.0
1619810484.933785,222,13.0
1619810517.815884,223,13.0
1619810584.310521,225,6.0
1619810616.774115,226,7.0
1619810650.03769,227,5.0
1619810713.627593,229,9.0
1619810746.469245,230,5.0
1619810813.682604,232,8.0
1619810846.995892,233,5.0
1619810879.405609,234,8.0
1619810977.318282,237,18.0
1619811072.931603,240,18.0
1619811233.795955,245,21.0
1619811298.521528,247,15.0
1619811361.211324,249,20.0
1619811392.644665,250,22.0
1619811619.877309,255,17.0
1619811718.640383,258,18.0
1619811750.995753,259,16.0
1619811782.950127,260,12.0
1619811815.459913,261,7.0
1619811879.709179,263,12.0
1619812008.447736,267,13.0
1619812071.361595,269,10.0
1619812137.03603,271,15.0
1619812201.784969,273,15.0
1619812361.404216,278,25.0
1619812423.874721,280,29.0
1619812551.631224,284,14.0
1619812714.78373,289,16.0
1619812778.534542,291,23.0
1619812811.109781,292,23.0
1619812906.717766,295,13.0
1619812971.489999,297,13.0
